state,total,place,race,religion,sexual_orientation,ethnicity,disability,gender,gender_identity
,,Vine Grove,1,0,0,0,0,0,0
,,Williamstown,0,1,0,0,0,0,0
,,Winchester,0,0,1,0,1,0,0
,Universities and Colleges,,3,0,0,0,0,0,0
,,Eastern Kentucky University,1,0,0,0,0,0,0
,,Morehead State University,1,0,0,0,0,0,0
,,University of Kentucky,1,0,0,0,0,0,0
,Metropolitan Counties,,13,2,1,3,0,0,0
,,Boone,4,1,0,0,0,0,0
,,Bullitt,1,0,0,0,0,0,0
,,Campbell County Police Department,1,0,0,0,0,0,0
,,Christian,2,0,0,0,0,0,0
,,Gallatin,1,0,0,0,0,0,0
,,Kenton,2,0,0,2,0,0,0
,,Oldham County Police Department,0,0,0,1,0,0,0
,,Pendleton2,1,0,0,0,0,0,0
,,Shelby,1,0,0,0,0,0,0
,,Warren,0,1,1,0,0,0,0
,Nonmetropolitan Counties,,8,2,1,0,0,0,0
,,Adair,1,0,0,0,0,0,0
,,Breckinridge,1,0,0,0,0,0,0
,,Hopkins,0,1,0,0,0,0,0
,,Laurel,1,0,0,0,0,0,0
,,Lewis,0,0,1,0,0,0,0
,,Marion,1,0,0,0,0,0,0
,,Marshall,0,1,0,0,0,0,0
,,McCracken,1,0,0,0,0,0,0
,,Nelson,1,0,0,0,0,0,0
,,Ohio,2,0,0,0,0,0,0
,State Police Agencies,,9,2,0,0,0,0,0
,,State Police:,,,,,,,
,,Cannabis Suppression Section,3,1,0,0,0,0,0
,,Frankfort,1,0,0,0,0,0,0
,,Hazard,1,1,0,0,0,0,0
,,Henderson,1,0,0,0,0,0,0
,,Madisonville,1,0,0,0,0,0,0
,,Mayfield,1,0,0,0,0,0,0
,,Pikeville,1,0,0,0,0,0,0
,Other Agencies,,4,1,0,0,0,0,0
,,Fayette County Schools,1,0,0,0,0,0,0
,,Greater Hardin County Narcotics Task Force,1,1,0,0,0,0,0
,,Park Security,1,0,0,0,0,0,0
,,Pennyrile Narcotics Task Force,1,0,0,0,0,0,0
Louisiana,Total,,3,0,5,0,1,0,0
,Cities,,2,0,2,0,1,0,0
,,Bernice,1,0,0,0,0,0,0
,,Harahan,1,0,0,0,0,0,0
,,New Orleans,0,0,2,0,1,0,0
,Universities and Colleges,,0,0,1,0,0,0,0
,,University of New Orleans,0,0,1,0,0,0,0
,Metropolitan Counties,,1,0,2,0,0,0,0
,,Calcasieu,1,0,1,0,0,0,0
,,Lafayette,0,0,1,0,0,0,0
Maine,Total,,11,8,8,1,0,0,0
,Cities,,11,7,7,1,0,0,0
,,Augusta,1,1,0,1,0,0,0
,,Bath,1,0,0,0,0,0,0
,,Gouldsboro,0,0,1,0,0,0,0
,,Hampden,0,1,0,0,0,0,0
,,Old Orchard Beach,2,0,1,0,0,0,0
,,Portland,0,3,1,0,0,0,0
,,Rumford,1,0,0,0,0,0,0
,,Saco,2,1,2,0,0,0,0
,,Searsport,1,0,0,0,0,0,0
,,South Portland,1,0,1,0,0,0,0
,,Waterville,0,0,1,0,0,0,0
,,Westbrook,1,0,0,0,0,0,0
,,Wiscasset,1,1,0,0,0,0,0
,Metropolitan Counties,,0,1,0,0,0,0,0
,,Sagadahoc,0,1,0,0,0,0,0
,Nonmetropolitan Counties,,0,0,1,0,0,0,0
,,Kennebec,0,0,1,0,0,0,0
Maryland,Total,,9,2,2,3,0,0,0
,Cities,,4,0,0,2,0,0,0
,,Baltimore,1,0,0,1,0,0,0
,,Cambridge,1,0,0,0,0,0,0
,,Salisbury,2,0,0,0,0,0,0
,,Thurmont,0,0,0,1,0,0,0
,Universities and Colleges,,0,0,1,0,0,0,0
,,St. Mary's College,0,0,1,0,0,0,0
,Metropolitan Counties,,4,2,1,0,0,0,0
,,Montgomery County Police Department,3,2,1,0,0,0,0
,,Prince George's County Police Department,1,0,0,0,0,0,0
,State Police Agencies,,1,0,0,1,0,0,0
,,State Police: ,,,,,,,
,,Carroll County,0,0,0,1,0,0,0
,,Worcester County,1,0,0,0,0,0,0
Massachusetts,Total,,128,57,80,33,10,18,49
,Cities,,108,45,78,29,10,15,49
,,Acton,0,3,0,0,0,0,0
,,Agawam,1,0,1,0,0,0,0
,,Amherst,2,0,0,0,0,0,0
,,Arlington,0,0,2,0,1,0,2
,,Attleboro,1,0,0,0,0,0,1
,,Barnstable,2,1,0,0,0,0,0
,,Belmont,0,0,0,0,0,0,1
,,Beverly,0,0,1,0,0,0,0
,,Billerica,0,1,0,0,0,0,0
,,Boston,46,6,39,4,0,0,0
,,Braintree,1,1,0,0,0,0,0
,,Brockton,0,1,0,0,0,0,0
,,Brookline,1,0,0,0,0,0,0
,,Burlington,0,1,0,0,0,0,0
,,Cambridge,3,2,5,2,1,0,0
,,Chicopee,1,0,0,0,0,0,0
,,Cohasset,0,0,0,1,0,0,0
,,Danvers,0,0,0,0,1,2,0
,,Deerfield,0,0,1,0,0,0,0
,,Dracut,0,1,0,0,0,0,0
,,Easthampton,0,0,1,0,0,0,0
,,East Longmeadow,0,0,0,0,1,0,0
,,Edgartown,0,0,1,1,0,0,0
,,Everett,0,0,0,1,1,0,0
,,Fall River,3,0,0,0,0,0,0
,,Gloucester,0,0,0,0,0,2,0
,,Grafton,0,0,0,0,0,1,0
,,Great Barrington,1,0,0,0,0,0,0
,,Harvard,0,1,0,0,0,0,0
,,Haverhill2,1,1,2,2,0,1,5
,,Hingham,0,1,0,0,0,0,0
,,Hudson,0,0,1,0,0,0,0
,,Leominster,0,1,0,0,0,0,0
,,Lunenburg,0,1,0,0,0,0,0
,,Lynn,4,2,4,2,2,3,4
,,Malden2,4,0,1,0,1,0,1
,,Marblehead,0,1,0,0,0,0,0
,,Marlborough,1,0,0,0,0,0,0
,,Mattapoisett,1,0,0,0,0,0,0
,,Medford,3,1,0,1,0,1,3
,,Melrose,0,0,2,0,0,0,0
,,Merrimac,1,0,0,0,0,0,0
,,Middleboro,0,1,0,0,0,0,0
,,Monson,0,1,0,0,0,0,0
,,Needham,1,0,0,0,0,0,0
,,New Bedford,2,0,1,2,0,0,0
,,Newton,2,3,0,0,0,0,4
,,Norfolk,0,0,1,0,0,0,0
,,Northampton,1,0,0,0,0,0,0
,,North Andover,0,0,0,1,0,0,0
,,North Reading,0,0,0,0,1,0,0
,,Norton,1,0,0,0,0,0,9
,,Oxford,0,0,1,0,0,0,0
,,Pittsfield,0,0,0,1,0,0,0
,,Plymouth,3,2,0,1,0,0,0
,,Quincy,7,3,3,1,1,0,6
,,Raynham,1,0,0,0,0,0,0
,,Revere,0,0,1,2,0,0,0
,,Salem,0,2,2,0,0,0,0
,,Sharon,0,1,0,0,0,0,0
,,Somerville2,1,4,1,1,0,2,2
,,South Hadley,1,0,0,0,0,0,0
,,Springfield,1,0,0,0,0,0,0
,,Swampscott,0,0,0,2,0,0,1
,,Taunton,3,0,1,0,0,1,7
,,Upton,0,1,0,0,0,0,0
,,Wakefield,0,0,1,0,0,0,0
,,Waltham,1,0,1,2,0,1,3
,,Ware,1,0,0,0,0,0,0
,,Webster,0,0,1,0,0,0,0
,,Westport,0,0,1,0,0,0,0
,,West Tisbury,0,0,0,0,0,1,0
,,Whitman,1,0,0,0,0,0,0
,,Williamstown,0,0,0,1,0,0,0
,,Winthrop,1,0,0,0,0,0,0
,,Woburn,0,0,0,1,0,0,0
,,Worcester,3,1,2,0,0,0,0
,Universities and Colleges,,17,11,2,3,0,3,0
,,Assumption College,0,1,0,0,0,0,0
,,Boston University,1,0,0,2,0,0,0
,,Clark University,1,0,0,0,0,0,0
,,Emerson College,0,1,0,0,0,0,0
,,Massachusetts College of Liberal Arts,0,1,0,0,0,0,0
,,Massachusetts Institute of Technology,2,0,0,0,0,2,0
,,Massasoit Community College,0,1,0,0,0,0,0
,,Mount Holyoke College,1,0,0,0,0,0,0
,,Northeastern University,0,1,1,0,0,0,0
,,Springfield Technical Community College,1,0,0,0,0,0,0
,,"Tufts University, Medford",0,4,0,0,0,0,0
,,"University of Massachusetts, Amherst",11,2,1,1,0,1,0
,Other Agencies,,3,1,0,1,0,0,0
,,Massachusetts General Hospital,3,1,0,1,0,0,0
Michigan,Total,,195,32,42,31,9,2,0
,Cities,,136,25,28,24,7,1,0
,,Ann Arbor,1,2,3,1,0,0,0
,,Auburn Hills,3,0,0,0,0,0,0
,,Battle Creek,1,0,0,0,0,0,0
,,Bay City,3,0,0,0,0,0,0
,,Benton Harbor,1,0,0,0,1,0,0
,,Beverly Hills,2,0,0,0,0,0,0
,,Blackman Township,0,1,0,2,0,0,0
,,Buena Vista Township,1,0,0,0,0,0,0
,,Burton,2,0,0,0,0,0,0
,,Cadillac,1,0,0,0,0,0,0
,,Canton Township,2,0,0,0,0,0,0
,,Chikaming Township,0,0,0,1,0,0,0
,,Clay Township,1,0,0,0,0,0,0
,,Clinton Township,1,0,0,0,1,0,0
,,Clio,1,0,0,0,0,0,0
,,Coldwater,1,0,0,0,0,0,0
,,Dearborn,3,1,0,1,0,0,0
,,Dearborn Heights,1,1,0,1,0,0,0
,,Detroit,11,0,4,1,0,0,0
,,East Lansing,3,0,1,0,0,0,0
,,Eastpointe,0,0,1,0,0,0,0
,,Essexville,1,0,0,0,0,0,0
,,Farmington Hills,0,2,0,0,0,0,0
,,Ferndale,1,0,1,0,0,0,0
,,Flat Rock,2,0,0,0,0,0,0
,,Flint,9,0,1,1,1,0,0
,,Fraser,1,0,0,0,0,0,0
,,Galesburg,6,0,0,0,0,0,0
,,Genesee Township,0,0,0,1,0,0,0
,,Grand Rapids,2,1,1,0,0,0,0
,,Greenville,2,0,0,0,0,0,0
,,Grosse Pointe Farms,2,0,0,0,0,0,0
,,Grosse Pointe Park,1,0,0,0,0,0,0
,,Grosse Pointe Shores,1,0,0,0,0,0,0
,,Harper Woods,0,0,1,0,0,0,0
,,Holland,0,0,1,0,0,0,0
,,Holly,0,0,1,0,0,0,0
,,Houghton,1,0,0,0,0,0,0
,,Huntington Woods,1,1,0,0,0,0,0
,,Inkster,3,0,0,0,0,0,0
,,Jackson,4,0,0,0,0,0,0
,,Kalamazoo,0,0,0,1,2,0,0
,,Lansing,3,2,1,0,0,0,0
,,Lapeer,1,0,0,0,0,0,0
,,Lincoln Park,2,0,0,0,0,0,0
,,Livonia,1,0,0,1,0,0,0
,,Madison Township,0,1,0,0,0,0,0
,,Manistee,1,0,0,0,0,0,0
,,Marshall,2,0,0,0,0,0,0
,,Melvindale,0,0,1,0,0,0,0
,,Menominee,0,0,1,0,0,0,0
,,Meridian Township,2,1,0,0,0,0,0
,,Monroe,1,0,0,0,0,0,0
,,Montrose Township,1,0,0,0,0,0,0
,,Mount Morris,0,0,0,1,0,0,0
,,Mount Pleasant,0,1,1,0,0,0,0
,,Mundy Township,1,0,0,0,0,0,0
,,Muskegon,0,0,0,2,0,0,0
,,Newaygo,1,0,0,0,0,0,0
,,Northville Township,0,2,1,1,0,0,0
,,Ontwa Township-Edwardsburg,2,0,0,0,0,0,0
,,Pittsfield Township,1,1,1,1,0,0,0
,,Prairieville Township,0,0,1,0,0,0,0
,,"Richland Township, Saginaw County",1,0,0,0,0,0,0
,,Richmond,0,0,0,1,0,0,0
,,River Rouge,1,0,0,0,0,0,0
,,Riverview,3,0,0,0,0,0,0
,,Romeo,0,0,1,0,0,0,0
,,Romulus,1,0,0,0,0,0,0
,,Roseville,2,0,0,0,0,0,0
,,Royal Oak,1,0,0,0,0,0,0
,,Saginaw,2,0,3,0,0,1,0
,,Saline,1,0,0,0,0,0,0
,,Sault Ste. Marie,1,0,0,0,0,0,0
,,Shelby Township,1,2,0,0,0,0,0
,,Southfield,4,1,0,2,0,0,0
,,South Haven,0,0,1,0,0,0,0
,,St. Clair,1,0,0,1,0,0,0
,,St. Clair Shores,1,0,0,0,0,0,0
,,St. Joseph,0,0,0,0,1,0,0
,,Three Rivers,1,0,0,0,0,0,0
,,Traverse City,1,0,0,0,0,0,0
,,Trenton,1,0,0,0,0,0,0
,,Troy,0,1,0,1,0,0,0
,,Van Buren Township,1,0,0,0,0,0,0
,,Walled Lake,1,0,0,0,0,0,0
,,Warren,8,3,1,1,1,0,0
,,Wayland,1,0,0,0,0,0,0
,,West Bloomfield Township,2,1,0,0,0,0,0
,,Westland,1,0,0,0,0,0,0
,,Wyandotte,1,0,0,0,0,0,0
,,Wyoming,2,0,0,1,0,0,0
,,Ypsilanti,1,0,0,1,0,0,0
,Universities and Colleges,,28,2,6,1,1,0,0
,,Central Michigan University,0,0,1,0,1,0,0
,,Eastern Michigan University,1,0,1,0,0,0,0
,,Ferris State University,0,0,1,0,0,0,0
,,Grand Rapids Community College,2,0,0,0,0,0,0
,,Lansing Community College,1,0,0,0,0,0,0
,,Michigan State University,24,0,1,0,0,0,0
,,Oakland University,0,0,1,0,0,0,0
,,Schoolcraft College,0,0,1,0,0,0,0
,,"University of Michigan, Ann Arbor",0,2,0,1,0,0,0
,Metropolitan Counties,,25,5,5,5,1,1,0
,,Genesee,1,2,1,0,0,0,0
,,Jackson,2,0,0,1,0,0,0
,,Kent,1,0,1,1,0,1,0
,,Macomb,3,0,0,0,0,0,0
,,Midland,0,0,0,1,0,0,0
,,Monroe,1,0,0,0,0,0,0
,,Oakland,7,1,1,1,1,0,0
,,Ottawa,4,2,0,0,0,0,0
,,Van Buren,2,0,0,1,0,0,0
,,Washtenaw,4,0,2,0,0,0,0
,Nonmetropolitan Counties,,5,0,3,1,0,0,0
,,Allegan,0,0,0,1,0,0,0
,,Gratiot,0,0,1,0,0,0,0
,,Isabella,1,0,0,0,0,0,0
,,Newaygo,2,0,2,0,0,0,0
,,Tuscola,1,0,0,0,0,0,0
,,Wexford,1,0,0,0,0,0,0
,State Police Agencies,,1,0,0,0,0,0,0
,,"State Police, Gratiot County",1,0,0,0,0,0,0
Minnesota,Total,,55,15,16,10,2,0,0
,Cities,,54,15,15,9,2,0,0
,,Alexandria,0,0,1,0,0,0,0
,,Apple Valley,0,0,0,0,1,0,0
,,Blaine,3,0,1,1,0,0,0
,,Brooklyn Park,0,0,1,0,0,0,0
,,Crystal,1,0,0,0,0,0,0
,,Duluth,1,0,0,0,0,0,0
,,Eagan,4,1,0,0,0,0,0
,,Eveleth,1,0,0,0,0,0,0
,,Fridley,2,0,0,0,0,0,0
,,Inver Grove Heights,2,0,1,2,0,0,0
,,Jordan,0,0,0,1,0,0,0
,,Mankato,2,0,0,0,0,0,0
,,Maplewood,0,0,0,1,0,0,0
,,Marshall,1,0,0,0,0,0,0
,,Mendota Heights,1,0,1,0,0,0,0
,,Minneapolis,11,10,7,3,1,0,0
,,Minnetonka,0,1,0,0,0,0,0
,,Moorhead,1,0,0,0,0,0,0
,,Plymouth,4,0,1,1,0,0,0
,,Robbinsdale,1,0,0,0,0,0,0
,,Roseville,1,0,0,0,0,0,0
,,St. Cloud,4,1,0,0,0,0,0
,,St. Louis Park,0,1,1,0,0,0,0
,,St. Paul,14,1,1,0,0,0,0
,Metropolitan Counties,,1,0,1,1,0,0,0
,,Anoka,1,0,0,0,0,0,0
,,Carlton,0,0,1,0,0,0,0
,,Wright,0,0,0,1,0,0,0
Mississippi,Total,,0,0,1,0,0,0,0
,Nonmetropolitan Counties,,0,0,1,0,0,0,0
,,Adams,0,0,1,0,0,0,0
Missouri,Total,,47,10,13,3,1,0,2
,Cities,,39,9,10,2,1,0,2
,,Bolivar,1,0,0,0,0,0,0
,,Columbia,1,0,0,0,0,0,0
,,Creve Coeur,0,0,1,0,0,0,0
,,Grain Valley,0,1,0,0,0,0,0
,,Grandview,0,0,0,1,0,0,0
,,Hazelwood,1,0,0,0,0,0,0
,,Independence,2,1,0,0,0,0,0
,,Jennings,5,0,0,0,0,0,0
,,Kansas City,17,5,7,1,0,0,1
,,Lee's Summit,2,0,0,0,0,0,0
,,Rich Hill,1,0,0,0,0,0,0
,,Rolla,1,0,1,0,0,0,0
,,Springfield,3,1,0,0,0,0,1
,,St. Charles,0,0,0,0,1,0,0
,,St. Louis,4,1,1,0,0,0,0
,,St. Peters,1,0,0,0,0,0,0
,Universities and Colleges,,2,0,2,0,0,0,0
,,Northwest Missouri State University,0,0,1,0,0,0,0
,,University of Missouri: ,,,,,,,
,,Columbia,1,0,0,0,0,0,0
,,Kansas City,0,0,1,0,0,0,0
,,St. Louis,1,0,0,0,0,0,0
,Metropolitan Counties,,4,1,0,1,0,0,0
,,St. Charles,1,0,0,0,0,0,0
,,St. Louis County Police Department,3,1,0,1,0,0,0
,Nonmetropolitan Counties,,2,0,1,0,0,0,0
,,Henry,0,0,1,0,0,0,0
,,Ozark,1,0,0,0,0,0,0
,,Stone,1,0,0,0,0,0,0
Montana,Total,,18,3,3,3,2,0,1
,Cities,,7,2,3,2,0,0,1
,,Billings,1,2,2,0,0,0,1
,,Columbia Falls,1,0,0,0,0,0,0
,,Deer Lodge,2,0,0,0,0,0,0
,,Helena,1,0,0,1,0,0,0
,,Kalispell,1,0,1,0,0,0,0
,,Missoula,1,0,0,1,0,0,0
,Metropolitan Counties,,5,1,0,0,0,0,0
,,Missoula,5,1,0,0,0,0,0
,Nonmetropolitan Counties,,6,0,0,1,2,0,0
,,Flathead,1,0,0,0,0,0,0
,,Lake,1,0,0,0,0,0,0
,,Lewis and Clark,2,0,0,1,2,0,0
,,Park,1,0,0,0,0,0,0
,,Powell,1,0,0,0,0,0,0
Nebraska,Total,,30,1,10,6,0,0,0
,Cities,,30,1,10,6,0,0,0
,,Blair,0,0,1,0,0,0,0
,,Chadron,1,0,0,0,0,0,0
,,Crete,0,0,1,0,0,0,0
,,Lincoln,19,0,3,6,0,0,0
,,Nebraska City,1,0,0,0,0,0,0
,,Norfolk,1,0,1,0,0,0,0
,,Omaha2,8,1,4,0,0,0,0
Nevada,Total,,10,1,9,4,0,0,0
,Cities,,10,1,9,4,0,0,0
,,Henderson,1,0,0,1,0,0,0
,,Las Vegas Metropolitan Police Department,7,0,9,1,0,0,0
,,North Las Vegas,0,0,0,1,0,0,0
,,Reno,2,1,0,1,0,0,0
New Hampshire,Total,,9,1,4,0,0,0,0
,Cities,,9,1,4,0,0,0,0
,,Belmont,1,0,0,0,0,0,0
,,Concord,0,0,1,0,0,0,0
,,Dover,1,1,0,0,0,0,0
,,Farmington,2,0,0,0,0,0,0
,,Laconia,1,0,0,0,0,0,0
,,Lancaster,1,0,0,0,0,0,0
,,Lebanon,1,0,0,0,0,0,0
,,New London,0,0,1,0,0,0,0
,,Pelham,1,0,0,0,0,0,0
,,Pembroke,0,0,1,0,0,0,0
,,Plymouth,1,0,1,0,0,0,0
New Jersey,Total,,160,115,32,29,0,0,0
,Cities,,157,112,31,28,0,0,0
,,Aberdeen Township,1,0,0,1,0,0,0
,,Asbury Park,0,0,0,1,0,0,0
,,Atlantic Highlands,1,0,1,0,0,0,0
,,Berkeley Township,0,1,0,0,0,0,0
,,Bordentown Township,0,1,0,0,0,0,0
,,Bradley Beach,1,0,0,0,0,0,0
,,Brick Township,1,0,0,0,0,0,0
,,Byram Township,1,1,0,0,0,0,0
,,Carteret,0,1,0,0,0,0,0
,,Clark Township,1,0,0,0,0,0,0
,,Collingswood,1,0,0,0,0,0,0
,,Colts Neck Township,0,3,0,0,0,0,0
,,Cranbury Township,1,1,0,1,0,0,0
,,Denville Township,0,1,0,0,0,0,0
,,Dunellen,1,0,1,0,0,0,0
,,East Brunswick Township,3,5,1,0,0,0,0
,,East Hanover Township,0,3,0,0,0,0,0
,,Egg Harbor Township,1,0,0,0,0,0,0
,,Elk Township,1,0,0,0,0,0,0
,,Englewood,0,1,0,0,0,0,0
,,Evesham Township,8,1,2,1,0,0,0
,,Ewing Township,0,2,0,1,0,0,0
,,Fair Lawn,1,1,0,0,0,0,0
,,Fort Lee,1,3,0,1,0,0,0
,,Freehold,0,0,1,0,0,0,0
,,Freehold Township,1,2,0,0,0,0,0
,,Galloway Township,2,0,0,0,0,0,0
,,Glassboro,2,0,0,0,0,0,0
,,Glen Ridge,1,0,0,0,0,0,0
,,Hackettstown,1,0,0,0,0,0,0
,,"Hamilton Township, Atlantic County",2,0,0,0,0,0,0
,,"Hamilton Township, Mercer County",0,0,0,1,0,0,0
,,Harrison Township,2,0,0,0,0,0,0
,,Highland Park,3,1,0,0,0,0,0
,,Hightstown,1,0,0,1,0,0,0
,,Hillsborough Township,0,3,1,0,0,0,0
,,Hoboken,5,0,1,2,0,0,0
,,Holmdel Township,1,0,0,0,0,0,0
,,Hopewell Township,1,0,0,0,0,0,0
,,Howell Township,2,3,1,1,0,0,0
,,Jackson Township,1,0,0,0,0,0,0
,,Jersey City,0,1,2,1,0,0,0
,,Keansburg,3,0,0,1,0,0,0
,,Kearny,1,2,0,0,0,0,0
,,Lacey Township,1,0,1,0,0,0,0
,,Lakewood Township,7,8,0,0,0,0,0
,,"Lawrence Township, Mercer County",0,2,0,0,0,0,0
,,Little Egg Harbor Township,3,1,1,0,0,0,0
,,Little Falls Township,3,0,1,0,0,0,0
,,Livingston Township,0,1,0,0,0,0,0
,,Lodi,1,0,0,0,0,0,0
,,Lopatcong Township,0,1,0,0,0,0,0
,,Madison,1,0,0,0,0,0,0
,,Manalapan Township,0,2,1,1,0,0,0
,,Manasquan,1,0,0,0,0,0,0
,,Manchester Township,0,1,0,0,0,0,0
,,"Mansfield Township, Burlington County",0,2,0,0,0,0,0
,,"Mansfield Township, Warren County",0,1,0,0,0,0,0
,,Mantua Township,0,0,1,0,0,0,0
,,Maple Shade Township,1,0,0,0,0,0,0
,,Marlboro Township,0,2,1,0,0,0,0
,,Medford Township,3,3,0,1,0,0,0
,,Mendham,1,0,0,0,0,0,0
,,Metuchen,1,0,0,0,0,0,0
,,Middlesex,1,0,0,0,0,0,0
,,Middle Township,0,1,0,0,0,0,0
,,Middletown Township,1,2,0,0,0,0,0
,,"Monroe Township, Gloucester County",2,0,0,0,0,0,0
,,"Monroe Township, Middlesex County",8,2,0,1,0,0,0
,,Moorestown Township,1,0,0,0,0,0,0
,,Morris Township,0,1,0,0,0,0,0
,,Mount Laurel Township,1,0,0,0,0,0,0
,,Mount Olive Township,1,1,0,0,0,0,0
,,Neptune City,1,0,0,0,0,0,0
,,Neptune Township,7,2,3,0,0,0,0
,,Newark,5,0,0,0,0,0,0
,,New Brunswick,3,1,2,0,0,0,0
,,New Providence,1,1,0,0,0,0,0
,,Newton,1,0,0,0,0,0,0
,,North Bergen Township,0,0,2,1,0,0,0
,,North Brunswick Township,0,0,1,1,0,0,0
,,Nutley Township,1,1,0,0,0,0,0
,,Ocean City,0,2,0,0,0,0,0
,,Oradell,0,2,0,0,0,0,0
,,Palmyra,1,0,0,0,0,0,0
,,Paramus,1,1,0,0,0,0,0
,,Parsippany-Troy Hills Township,0,1,0,0,0,0,0
,,Passaic,0,2,0,1,0,0,0
,,Pemberton Township,2,0,0,0,0,0,0
,,Pine Hill,0,0,1,0,0,0,0
,,Piscataway Township,0,2,0,0,0,0,0
,,Pitman,5,1,1,0,0,0,0
,,Point Pleasant,1,0,0,0,0,0,0
,,Randolph Township,3,3,0,2,0,0,0
,,Readington Township,1,0,0,0,0,0,0
,,Ridgefield Park,0,1,0,0,0,0,0
,,Ridgewood,0,1,0,1,0,0,0
,,Riverdale,0,1,0,0,0,0,0
,,Riverton,1,0,0,0,0,0,0
,,Robbinsville Township,1,1,1,0,0,0,0
,,Roxbury Township,0,1,0,0,0,0,0
,,Rumson,0,2,0,0,0,0,0
,,South Brunswick Township,0,2,1,4,0,0,0
,,South Plainfield,1,0,0,0,0,0,0
,,Springfield,1,0,0,0,0,0,0
,,Spring Lake,0,1,0,0,0,0,0
,,Stratford,1,1,0,0,0,0,0
,,Trenton,1,0,0,0,0,0,0
,,Union Beach,0,0,1,0,0,0,0
,,Union City,1,3,0,1,0,0,0
,,Union Township,1,0,0,0,0,0,0
,,Verona,0,2,0,0,0,0,0
,,Vineland,0,0,0,1,0,0,0
,,Voorhees Township,0,1,0,0,0,0,0
,,Weehawken Township,0,1,0,0,0,0,0
,,Westampton Township,0,1,0,0,0,0,0
,,West Deptford Township,2,0,0,0,0,0,0
,,West Long Branch,2,0,0,0,0,0,0
,,West Milford Township,3,1,0,0,0,0,0
,,Winslow Township,1,0,0,0,0,0,0
,,Woodbridge Township,3,4,0,0,0,0,0
,,Woodbury,13,1,1,0,0,0,0
,,Woodstown,1,0,0,0,0,0,0
,Metropolitan Counties,,2,0,1,1,0,0,0
,,Camden County Police Department,2,0,1,1,0,0,0
,State Police Agencies,,1,3,0,0,0,0,0
,,State Police:,,,,,,,
,,Monmouth County,0,3,0,0,0,0,0
,,Sussex County,1,0,0,0,0,0,0
New Mexico,Total,,6,4,1,2,0,0,0
,Cities,,4,4,1,1,0,0,0
,,Albuquerque,4,4,1,1,0,0,0
,Universities and Colleges,,1,0,0,0,0,0,0
,,University of New Mexico,1,0,0,0,0,0,0
,Metropolitan Counties,,1,0,0,1,0,0,0
,,Bernalillo,1,0,0,1,0,0,0
New York,Total,,108,287,110,35,1,0,4
,Cities,,64,187,92,30,0,0,4
,,Albany,1,1,1,0,0,0,0
,,Buffalo,10,0,4,1,0,0,0
,,Carthage Village,0,0,0,1,0,0,0
,,Cheektowaga Town,4,0,0,0,0,0,0
,,Clarkstown Town,0,1,0,0,0,0,0
,,Cortland,0,2,0,0,0,0,0
,,Crawford Town,1,1,0,0,0,0,0
,,Dobbs Ferry Village,1,0,0,0,0,0,0
,,Fishkill Town,0,1,0,0,0,0,0
,,Freeport Village,0,0,1,0,0,0,0
,,Geddes Town,1,0,0,0,0,0,0
,,Geneseo Village,0,0,0,0,0,0,1
,,Greenburgh Town,0,0,0,1,0,0,0
,,Lake Placid Village,1,0,0,0,0,0,0
,,Manlius Town,0,0,1,0,0,0,0
,,Middletown,0,2,0,0,0,0,0
,,Monroe Village,1,1,0,0,0,0,0
,,Mount Vernon,1,0,0,0,0,0,0
,,New Rochelle,1,2,1,2,0,0,0
,,New York,37,168,78,22,0,0,2
,,Niagara Falls,0,0,0,1,0,0,0
,,Oneonta City,0,1,0,0,0,0,0
,,Orangetown Town,1,4,0,1,0,0,0
,,Poughkeepsie,1,0,0,0,0,0,0
,,Poughkeepsie Town,1,0,0,0,0,0,0
,,Rochester,1,0,2,0,0,0,0
,,Southold Town,0,0,1,0,0,0,0
,,Spring Valley Village,0,1,0,0,0,0,1
,,Yonkers,1,1,3,1,0,0,0
,,Yorktown Town,0,1,0,0,0,0,0
,Universities and Colleges,,2,10,3,1,0,0,0
,,Cornell University,0,0,1,0,0,0,0
,,State University of New York: ,,,,,,,
,,Binghamton,0,1,0,0,0,0,0
,,Stony Brook,1,1,0,0,0,0,0
,,State University of New York Agricultural and Technical College:,,,,,,,
,,Cobleskill,0,0,0,1,0,0,0
,,Morrisville,0,3,0,0,0,0,0
,,State University of New York College:,,,,,,,
,,Buffalo,0,1,1,0,0,0,0
,,New Paltz,0,1,0,0,0,0,0
,,Oneonta,0,1,0,0,0,0,0
,,Oswego,0,1,0,0,0,0,0
,,Potsdam,1,1,1,0,0,0,0
,Metropolitan Counties,,31,75,14,3,1,0,0
,,Erie,0,0,1,0,0,0,0
,,Nassau,17,21,2,1,0,0,0
,,Niagara,0,0,0,0,1,0,0
,,Ontario,0,1,0,0,0,0,0
,,Suffolk County Police Department,14,53,9,2,0,0,0
,,Washington,0,0,1,0,0,0,0
,,Westchester Public Safety,0,0,1,0,0,0,0
,State Police Agencies,,5,3,1,1,0,0,0
,,State Police:,,,,,,,
,,Chenango County ,1,0,0,0,0,0,0
,,Columbia County ,0,0,1,0,0,0,0
,,Essex County ,1,1,0,0,0,0,0
,,Herkimer County ,0,0,0,1,0,0,0
,,Orange County ,0,1,0,0,0,0,0
,,Otsego County ,1,0,0,0,0,0,0
,,Suffolk County ,1,0,0,0,0,0,0
