state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity
,,Scarborough,0,1,0,0,0,0
,,South Portland,0,2,1,0,0,0
,,Waterville,1,0,0,0,0,0
,Universities and Colleges,,4,1,2,0,0,0
,,University of Southern Maine,4,1,2,0,0,0
,State Police Agencies,,1,0,0,0,0,0
,,"State Police, Kennebec County",1,0,0,0,0,0
Maryland,Total,,24,7,6,0,0,0
,Cities,,2,0,3,0,0,0
,,Baltimore,1,0,2,0,0,0
,,Laurel,1,0,1,0,0,0
,Universities and Colleges,,1,0,0,0,0,0
,,"University of Maryland, College Park",1,0,0,0,0,0
,Metropolitan Counties,,20,6,3,0,0,0
,,Anne Arundel County Police Department,10,5,1,0,0,0
,,Baltimore County Police Department,1,0,0,0,0,0
,,Harford2,4,0,0,0,0,0
,,Howard County Police Department,1,0,0,0,0,0
,,Montgomery County Police Department,4,1,2,0,0,0
,State Police Agencies,,0,1,0,0,0,0
,,"State Police, Anne Arundel County",0,1,0,0,0,0
,Other Agencies,,1,0,0,0,0,0
,,"National Capitol Park Police, Montgomery County",1,0,0,0,0,0
Massachusetts,Total,,212,94,76,8,8,16
,Cities,,194,71,65,8,7,16
,,Acton,2,0,0,0,0,1
,,Andover,2,1,0,0,0,0
,,Arlington2,9,1,0,1,0,0
,,Barnstable,0,0,3,1,0,0
,,Belmont,1,0,0,0,0,0
,,Beverly,2,1,0,0,0,0
,,Billerica,1,1,0,0,0,0
,,Boston2,75,16,28,1,0,9
,,Boxford,0,1,0,0,0,0
,,Braintree2,6,1,1,0,1,0
,,Cambridge2,16,6,4,0,0,0
,,Chelmsford,0,0,0,0,1,0
,,Chelsea,0,1,0,0,0,0
,,Chicopee,1,0,0,0,0,0
,,Cohasset,1,0,0,0,0,0
,,Danvers,0,3,0,0,0,0
,,Dartmouth,1,0,0,0,0,0
,,Dennis,2,0,0,0,0,0
,,Dudley,0,1,0,0,0,0
,,Everett2,7,1,0,0,0,0
,,Fitchburg,0,1,0,0,0,0
,,Framingham,3,0,0,0,0,0
,,Freetown,1,0,0,0,0,0
,,Greenfield,0,0,0,0,1,0
,,Haverhill2,3,1,2,0,0,0
,,Holliston,0,0,1,0,0,0
,,Hopkinton,0,2,1,0,0,0
,,Lancaster,0,0,1,0,0,0
,,Lawrence,0,0,1,0,0,0
,,Lenox,0,0,1,0,0,0
,,Lexington,1,1,0,0,0,0
,,Lowell,0,1,1,0,0,0
,,Lynn2,5,0,2,0,0,1
,,Malden,1,0,2,0,0,0
,,Manchester-by-the-Sea,0,0,0,1,0,0
,,Mansfield,1,0,0,0,0,0
,,Mattapoisett,1,0,0,0,0,0
,,Medford,3,0,0,0,0,0
,,Methuen2,2,1,0,0,0,0
,,Milford,1,0,0,0,0,0
,,Millbury,0,1,0,0,0,0
,,Milton,1,0,1,0,0,0
,,Nahant,1,0,1,0,0,0
,,Newburyport,1,0,0,0,0,0
,,Newton2,7,16,0,0,0,1
,,Northampton2,2,1,1,0,0,0
,,Pepperell,0,1,0,0,0,0
,,Pittsfield,1,0,0,0,0,0
,,Provincetown,0,0,1,0,0,0
,,Quincy,3,0,1,0,1,0
,,Randolph,3,0,0,0,0,0
,,Salem,1,1,3,0,0,0
,,Saugus,1,0,0,0,0,0
,,Sharon,0,0,0,0,1,0
,,Shelburne,0,0,0,1,0,0
,,Somerville,6,3,1,1,0,0
,,Southbridge,1,0,0,0,0,0
,,Springfield,7,0,3,0,0,0
,,Stoughton,0,1,0,0,0,0
,,Sturbridge,0,0,0,1,0,0
,,Sudbury,0,1,0,0,0,0
,,Swampscott,0,3,0,0,0,0
,,Taunton,3,0,1,0,1,0
,,Topsfield,1,0,0,0,0,0
,,Waltham,1,0,1,1,0,3
,,Watertown2,0,2,2,0,0,0
,,Westfield,0,0,1,0,0,0
,,West Tisbury,0,0,0,0,1,0
,,Williamstown,1,0,0,0,0,0
,,Worcester,5,0,0,0,0,1
,Universities and Colleges,,14,22,10,0,1,0
,,Boston University2,5,11,4,0,1,0
,,Brandeis University,0,1,0,0,0,0
,,Bridgewater State University,0,0,1,0,0,0
,,Bristol Community College,1,0,0,0,0,0
,,Clark University,0,3,0,0,0,0
,,Hampshire College,1,0,0,0,0,0
,,Massachusetts Institute of Technology,0,1,0,0,0,0
,,Northeastern University,0,1,0,0,0,0
,,Salem State University,0,0,3,0,0,0
,,"Tufts University, Suffolk3",0,1,0,0,0,0
,,University of Massachusetts:,,,,,,
,,Amherst2,6,4,2,0,0,0
,,"Medical Center, Worcester",1,0,0,0,0,0
,Other Agencies,,4,1,1,0,0,0
,,Massachusetts Bay Transportation Authority:,,,,,,
,,Middlesex County,1,0,0,0,0,0
,,Suffolk County,3,1,1,0,0,0
Michigan,Total,,282,47,59,6,5,0
,Cities,,209,41,44,4,1,0
,,Albion,2,1,0,0,0,0
,,Allegan,0,0,1,0,0,0
,,Ann Arbor,0,1,0,0,0,0
,,Auburn Hills,1,0,0,0,0,0
,,Battle Creek,3,0,0,0,0,0
,,Belleville,1,0,0,0,0,0
,,Benton Harbor,1,0,0,0,0,0
,,Benton Township,2,0,0,0,0,0
,,Berkley,1,0,0,0,0,0
,,Big Rapids,1,0,0,0,0,0
,,Birmingham,0,1,0,0,0,0
,,Blackman Township,3,0,0,0,0,0
,,Bloomfield Hills,1,1,0,0,0,0
,,Bloomfield Township,1,1,0,0,0,0
,,Buena Vista Township,2,0,0,0,0,0
,,Burton,1,0,0,0,0,0
,,Cadillac,1,0,0,0,0,0
,,Caro,1,0,0,0,0,0
,,Chesterfield Township,1,0,0,0,0,0
,,Clawson,2,0,0,0,0,0
,,Clinton Township,1,0,0,0,0,0
,,Clio,1,0,0,0,0,0
,,Coldwater,1,0,0,0,0,0
,,Commerce Township,1,0,0,0,0,0
,,Dearborn,7,4,3,0,0,0
,,Dearborn Heights,1,1,0,0,0,0
,,Detroit,16,1,13,2,0,0
,,East Lansing,2,1,0,0,0,0
,,Eastpointe,3,0,0,0,0,0
,,Eaton Rapids,1,0,0,0,0,0
,,Escanaba,1,0,0,0,1,0
,,Evart,1,0,0,0,0,0
,,Farmington,0,0,1,0,0,0
,,Ferndale,2,0,0,0,0,0
,,Flint,14,1,1,0,0,0
,,Flushing,0,0,1,0,0,0
,,Forsyth Township,1,0,0,0,0,0
,,Fruitport Township,1,0,0,0,0,0
,,Galesburg,2,0,0,0,0,0
,,Garden City,2,1,0,0,0,0
,,Gaylord,1,0,0,0,0,0
,,Genesee Township,0,0,1,0,0,0
,,Grand Rapids,2,0,0,0,0,0
,,Grandville,0,1,0,0,0,0
,,Grant,3,0,0,0,0,0
,,Grosse Pointe Park,1,0,1,0,0,0
,,Grosse Pointe Woods,1,0,0,0,0,0
,,Hampton Township,1,0,0,0,0,0
,,Hamtramck,3,2,0,0,0,0
,,Harper Woods,1,0,0,0,0,0
,,Hart,1,0,0,0,0,0
,,Hastings,1,0,0,0,0,0
,,Highland Park,5,1,1,0,0,0
,,Houghton,2,0,0,0,0,0
,,Huntington Woods,0,1,0,0,0,0
,,Huron Township,1,0,0,0,0,0
,,Independence Township,2,0,0,0,0,0
,,Inkster,3,2,1,0,0,0
,,Ishpeming,2,0,0,0,0,0
,,Kalamazoo,1,0,0,0,0,0
,,Lansing,1,1,0,0,0,0
,,Lapeer,1,0,1,0,0,0
,,Lawton,2,0,0,0,0,0
,,Leslie,1,0,0,0,0,0
,,Lincoln Park,1,0,0,0,0,0
,,Lincoln Township,2,0,0,0,0,0
,,Livonia,3,1,0,0,0,0
,,Ludington,3,0,0,0,0,0
,,Mackinac Island,0,0,1,0,0,0
,,Marysville,0,0,1,0,0,0
,,Mason,1,0,0,0,0,0
,,Melvindale,2,0,0,0,0,0
,,Meridian Township,4,1,1,0,0,0
,,Monroe,2,0,0,0,0,0
,,Montrose Township,0,1,1,0,0,0
,,Mount Pleasant,1,0,0,0,0,0
,,Muskegon,0,1,1,0,0,0
,,Muskegon Township,0,0,1,0,0,0
,,Niles,1,1,0,0,0,0
,,Norton Shores,3,0,0,0,0,0
,,Ontwa Township-Edwardsburg,0,0,1,0,0,0
,,Owosso,1,0,0,0,0,0
,,Oxford Township,1,0,0,0,0,0
,,Pittsfield Township,1,1,1,0,0,0
,,Plymouth,0,0,1,0,0,0
,,Plymouth Township,0,0,1,0,0,0
,,Pontiac,2,0,0,0,0,0
,,Portage,1,0,0,0,0,0
,,Port Huron,0,0,1,0,0,0
,,Redford Township,1,1,0,0,0,0
,,Richland,1,0,0,0,0,0
,,River Rouge,1,0,0,0,0,0
,,Rochester Hills,2,0,0,0,0,0
,,Romulus,4,0,0,0,0,0
,,Roseville,3,0,0,0,0,0
,,Royal Oak,1,0,0,0,0,0
,,Saginaw,3,1,1,0,0,0
,,Saginaw Township,2,0,0,0,0,0
,,Saline,1,0,0,0,0,0
,,Sault Ste. Marie,0,0,2,0,0,0
,,Shelby Township,3,0,1,0,0,0
,,Southfield,1,1,1,0,0,0
,,Southgate,3,0,1,0,0,0
,,South Lyon,2,0,0,0,0,0
,,St. Charles,1,1,0,0,0,0
,,St. Joseph Township,1,0,0,0,0,0
,,Sturgis,1,0,0,0,0,0
,,Taylor,3,0,0,0,0,0
,,Tittabawassee Township,1,0,0,0,0,0
,,Traverse City,4,3,0,0,0,0
,,Troy,7,0,0,0,0,0
,,Van Buren Township,2,0,2,0,0,0
,,Warren,7,1,0,2,0,0
,,Waterford Township,1,0,0,0,0,0
,,West Bloomfield Township,5,4,0,0,0,0
,,Wyoming,0,1,0,0,0,0
,Universities and Colleges,,16,4,3,0,0,0
,,Eastern Michigan University,4,2,0,0,0,0
,,Grand Valley State University,0,0,1,0,0,0
,,Michigan State University,2,1,1,0,0,0
,,Mott Community College,1,0,0,0,0,0
,,Schoolcraft College,1,0,0,0,0,0
,,University of Michigan:,,,,,,
,,Ann Arbor,6,1,1,0,0,0
,,Flint,1,0,0,0,0,0
,,Western Michigan University,1,0,0,0,0,0
,Metropolitan Counties,,24,0,8,1,1,0
,,Barry,2,0,0,0,0,0
,,Calhoun,1,0,1,0,0,0
,,Eaton,1,0,0,0,0,0
,,Genesee,1,0,0,0,0,0
,,Ingham,2,0,0,0,0,0
,,Jackson,3,0,0,0,0,0
,,Kent,1,0,1,0,0,0
,,Lapeer,2,0,1,0,0,0
,,Livingston,0,0,0,1,1,0
,,Macomb,1,0,0,0,0,0
,,Monroe,3,0,0,0,0,0
,,Montcalm,1,0,1,0,0,0
,,Muskegon,1,0,0,0,0,0
,,Oakland,0,0,2,0,0,0
,,Saginaw,2,0,0,0,0,0
,,St. Clair,0,0,1,0,0,0
,,Van Buren,1,0,1,0,0,0
,,Washtenaw,2,0,0,0,0,0
,Nonmetropolitan Counties,,18,1,2,1,1,0
,,Benzie,1,0,0,0,0,0
,,Clare,1,0,0,0,0,0
,,Emmet,1,0,0,0,0,0
,,Gratiot,2,0,0,0,0,0
,,Hillsdale,1,0,0,0,0,0
,,Huron,1,0,0,0,0,0
,,Ionia,1,0,0,0,0,0
,,Luce,0,0,0,1,0,0
,,Marquette,1,0,0,0,0,0
,,Mason,1,0,0,0,0,0
,,Mecosta,2,0,0,0,0,0
,,Menominee,3,0,0,0,0,0
,,Oceana,1,0,1,0,0,0
,,Sanilac,1,0,0,0,0,0
,,Tuscola,1,1,1,0,1,0
,State Police Agencies,,14,1,2,0,2,0
,,State Police:,,,,,,
,,Ingham County,2,0,0,0,0,0
,,Isabella County,3,0,2,0,0,0
,,Jackson County,1,0,0,0,0,0
,,Kent County,3,0,0,0,0,0
,,Livingston County,0,1,0,0,1,0
,,Mecosta County,1,0,0,0,0,0
,,Muskegon County,0,0,0,0,1,0
,,Oceana County,4,0,0,0,0,0
,Other Agencies,,1,0,0,0,0,0
,,Gerald R. Ford International Airport,1,0,0,0,0,0
Minnesota,Total,,77,30,15,0,0,0
,Cities,,71,28,15,0,0,0
,,Blaine,2,0,0,0,0,0
,,Bloomington,1,0,0,0,0,0
,,Brooklyn Center,1,0,0,0,0,0
,,Brooklyn Park,8,1,1,0,0,0
,,Cottage Grove,2,0,0,0,0,0
,,Crystal,2,0,0,0,0,0
,,Eagan,2,0,0,0,0,0
,,Inver Grove Heights2,7,0,1,0,0,0
,,Little Falls,1,0,0,0,0,0
,,Mankato,3,0,2,0,0,0
,,Maplewood,2,0,0,0,0,0
,,Minneapolis,20,13,5,0,0,0
,,Minnetonka,0,2,0,0,0,0
,,Moorhead,0,0,1,0,0,0
,,New Hope,1,0,0,0,0,0
,,Oakdale2,1,1,0,0,0,0
,,Orono,0,1,0,0,0,0
,,Plymouth,4,1,1,0,0,0
,,Roseville2,1,1,1,0,0,0
,,Sauk Centre,0,1,0,0,0,0
,,Savage,0,1,0,0,0,0
,,South St. Paul,1,0,0,0,0,0
,,Spring Lake Park,1,0,0,0,0,0
,,St. Cloud,3,1,1,0,0,0
,,St. Louis Park,2,3,0,0,0,0
,,St. Paul,5,2,2,0,0,0
,,Wayzata,1,0,0,0,0,0
,Universities and Colleges,,0,1,0,0,0,0
,,"University of Minnesota, Twin Cities",0,1,0,0,0,0
,Metropolitan Counties,,5,0,0,0,0,0
,,Carver,1,0,0,0,0,0
,,Mille Lacs,1,0,0,0,0,0
,,Ramsey,2,0,0,0,0,0
,,Wright,1,0,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Crow Wing,1,0,0,0,0,0
,Other Agencies,,0,1,0,0,0,0
,,Minneapolis-St. Paul International Airport,0,1,0,0,0,0
Mississippi,Total,,4,1,2,0,0,0
,Cities,,3,1,1,0,0,0
,,Biloxi,0,0,1,0,0,0
,,Olive Branch,3,1,0,0,0,0
,Metropolitan Counties,,0,0,1,0,0,0
,,DeSoto,0,0,1,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Stone,1,0,0,0,0,0
Missouri,Total,,65,13,10,0,1,0
,Cities,,62,11,10,0,1,0
,,Battlefield,1,0,0,0,0,0
,,Blue Springs,1,0,0,0,0,0
,,Bolivar,0,1,0,0,0,0
,,Branson,1,0,0,0,0,0
,,Bridgeton,0,0,1,0,0,0
,,Cameron,1,0,0,0,0,0
,,Chesterfield,1,1,0,0,0,0
,,Clayton,1,0,0,0,0,0
,,Columbia,5,0,2,0,0,0
,,Gladstone,1,0,0,0,0,0
,,Independence,1,0,1,0,0,0
,,Kansas City,33,6,4,0,0,0
,,Lee's Summit,1,0,0,0,1,0
,,Marionville,1,0,0,0,0,0
,,North Kansas City,1,0,0,0,0,0
,,Rolla,2,0,0,0,0,0
,,St. Charles,1,0,0,0,0,0
,,St. Joseph,0,0,1,0,0,0
,,St. Louis,8,1,0,0,0,0
,,St. Peters2,1,2,1,0,0,0
,,University City,1,0,0,0,0,0
,Universities and Colleges,,2,1,0,0,0,0
,,University of Missouri:,,,,,,
,,Kansas City,2,0,0,0,0,0
,,St. Louis,0,1,0,0,0,0
,Metropolitan Counties,,1,1,0,0,0,0
,,St. Louis County Police Department,1,1,0,0,0,0
Montana,Total,,10,5,4,0,1,0
,Cities,,4,4,2,0,1,0
,,Billings,2,1,1,0,0,0
,,Columbia Falls,0,0,0,0,1,0
,,Conrad,1,0,0,0,0,0
,,Havre,1,0,0,0,0,0
,,Helena,0,3,0,0,0,0
,,Whitefish,0,0,1,0,0,0
,Nonmetropolitan Counties,,6,1,2,0,0,0
,,Big Horn,2,0,2,0,0,0
,,Broadwater,1,0,0,0,0,0
,,Lewis and Clark,3,0,0,0,0,0
,,Richland,0,1,0,0,0,0
Nebraska,Total,,23,4,3,0,1,0
,Cities,,23,4,3,0,1,0
,,Crete,2,0,0,0,0,0
,,Grand Island,2,0,0,0,0,0
,,Kearney,1,0,0,0,0,0
,,Lincoln,13,3,2,0,1,0
,,Norfolk,1,0,0,0,0,0
,,Omaha,4,1,0,0,0,0
,,Papillion,0,0,1,0,0,0
Nevada,Total,,31,4,6,0,0,1
,Cities,,31,4,6,0,0,1
,,Henderson,9,1,1,0,0,0
,,Las Vegas Metropolitan Police Department2,19,1,5,0,0,1
,,North Las Vegas,3,1,0,0,0,0
,,Reno,0,1,0,0,0,0
New Hampshire,Total,,15,6,5,2,0,0
,Cities,,15,6,4,2,0,0
,,Belmont,1,0,0,0,0,0
,,Boscawen,0,0,1,0,0,0
,,Bow,1,0,0,0,0,0
,,Brookline,0,1,0,0,0,0
,,Claremont,1,0,0,0,0,0
,,Concord,1,0,1,0,0,0
,,Derry,1,0,0,0,0,0
,,Dover,0,0,0,1,0,0
,,Durham,0,1,0,0,0,0
,,Exeter,2,1,0,0,0,0
,,Farmington,2,0,1,0,0,0
,,Hillsborough,1,0,0,0,0,0
,,Keene,1,2,0,0,0,0
,,Laconia,1,1,0,1,0,0
,,Manchester,0,0,1,0,0,0
,,Pembroke,1,0,0,0,0,0
,,Sandown,1,0,0,0,0,0
,,Troy,1,0,0,0,0,0
,Universities and Colleges,,0,0,1,0,0,0
,,University of New Hampshire,0,0,1,0,0,0
New Jersey,Total,,137,110,34,1,0,0
,Cities,,130,110,33,1,0,0
,,Aberdeen Township,1,1,0,0,0,0
,,Allendale,0,1,0,0,0,0
,,Atlantic City,1,0,0,0,0,0
,,Bergenfield,0,1,0,0,0,0
,,Blairstown Township,1,1,0,0,0,0
,,Bloomfield,1,0,0,0,0,0
,,Brick Township,0,1,1,0,0,0
,,Cinnaminson Township,1,0,0,0,0,0
,,Colts Neck Township,0,0,1,0,0,0
,,Cresskill,0,1,0,0,0,0
,,Dunellen,0,1,0,0,0,0
,,East Brunswick Township,6,2,1,0,0,0
,,East Hanover Township,1,0,0,0,0,0
,,East Orange,1,0,0,0,0,0
,,East Rutherford,0,1,0,0,0,0
,,East Windsor Township,2,0,0,0,0,0
,,Edgewater,0,1,0,0,0,0
,,Edison Township,2,1,0,0,0,0
,,Evesham Township,4,1,1,0,0,0
,,Ewing Township,0,1,0,0,0,0
,,Florence Township,0,0,1,0,0,0
,,Fort Lee,1,1,1,0,0,0
,,Freehold Borough,2,0,0,0,0,0
,,Freehold Township,2,0,0,0,0,0
,,Galloway Township,0,1,0,0,0,0
,,Glassboro,1,1,1,0,0,0
,,Hackensack,2,2,1,0,0,0
,,"Hamilton Township, Mercer County",0,2,0,0,0,0
,,Hammonton,0,1,0,0,0,0
,,Hanover Township,1,0,0,0,0,0
,,Harrison Township,0,1,1,0,0,0
,,Highland Park,2,1,0,0,0,0
,,Highlands,1,0,0,0,0,0
,,Hillsborough Township,1,0,0,0,0,0
,,Hoboken,2,0,1,0,0,0
,,Holmdel Township,0,3,0,0,0,0
,,Hopewell Township,0,1,0,0,0,0
,,Howell Township,4,6,1,0,0,0
,,Jackson Township,1,1,0,0,0,0
,,Jersey City,3,1,0,0,0,0
,,Keansburg,5,0,0,0,0,0
,,Lacey Township,0,1,0,0,0,0
,,Lakewood Township,3,14,0,0,0,0
,,Lindenwold,0,1,0,0,0,0
,,Linwood,0,1,0,0,0,0
,,Little Falls Township,2,0,1,0,0,0
,,Livingston Township,1,1,0,0,0,0
,,Lodi,0,1,0,0,0,0
,,Long Branch,2,1,0,0,0,0
,,Madison,0,1,0,0,0,0
,,Magnolia,1,1,0,0,0,0
,,Manalapan Township,0,3,1,0,0,0
,,Manasquan,1,0,0,0,0,0
,,Manchester Township,1,0,0,0,0,0
,,Medford Township,2,1,0,0,0,0
,,Metuchen,0,1,0,0,0,0
,,Middletown Township,1,0,0,0,0,0
,,Monmouth Beach,1,0,0,1,0,0
,,Montclair,2,2,2,0,0,0
,,Montville Township,1,0,0,0,0,0
,,Moonachie,1,0,0,0,0,0
,,Moorestown Township,0,1,0,0,0,0
,,Mount Arlington,1,0,0,0,0,0
,,Mount Laurel Township,0,2,0,0,0,0
,,Mount Olive Township,1,0,0,0,0,0
,,Neptune Township,8,0,4,0,0,0
,,Newark,0,2,1,0,0,0
,,New Brunswick,5,2,2,0,0,0
,,New Providence,0,1,0,0,0,0
,,Newton,0,1,0,0,0,0
,,North Brunswick Township,0,1,0,0,0,0
,,Northfield,1,1,0,0,0,0
,,North Haledon,1,0,0,0,0,0
,,Nutley Township,1,0,0,0,0,0
,,"Ocean Township, Monmouth County",3,3,3,0,0,0
,,Paramus,0,1,0,0,0,0
,,Passaic,1,0,0,0,0,0
,,Pemberton Township,3,0,0,0,0,0
,,Pequannock Township,1,0,0,0,0,0
,,Piscataway Township,0,1,0,0,0,0
,,Plainsboro Township,0,1,0,0,0,0
,,Point Pleasant Beach,0,1,0,0,0,0
,,Pompton Lakes,1,0,0,0,0,0
,,Princeton,1,2,1,0,0,0
,,Randolph Township,0,2,0,0,0,0
,,Raritan Township,0,0,1,0,0,0
,,Readington Township,1,0,0,0,0,0
,,Robbinsville Township,0,1,0,0,0,0
,,Rockaway Township,0,1,0,0,0,0
,,Saddle Brook Township,0,1,0,0,0,0
,,Scotch Plains Township,1,0,0,0,0,0
,,Sea Isle City,1,0,0,0,0,0
,,Secaucus,2,1,1,0,0,0
,,Somerville,0,0,1,0,0,0
,,South Brunswick Township,3,11,1,0,0,0
,,South Orange,2,0,1,0,0,0
,,South River,0,1,0,0,0,0
,,Spotswood,1,0,0,0,0,0
,,Toms River Township,0,2,0,0,0,0
,,Trenton,1,0,0,0,0,0
,,Union Township,0,1,0,0,0,0
,,Vineland,2,2,0,0,0,0
,,Voorhees Township,2,0,0,0,0,0
,,Washington,1,0,0,0,0,0
,,"Washington Township, Gloucester County",1,0,1,0,0,0
,,"Washington Township, Warren County",1,0,0,0,0,0
,,West Deptford Township,1,0,0,0,0,0
,,West Long Branch,1,1,1,0,0,0
,,Winslow Township,1,0,0,0,0,0
,,Woodbridge Township,0,1,0,0,0,0
,,Woodbury,11,0,0,0,0,0
,,Woolwich Township,1,0,0,0,0,0
,State Police Agencies,,7,0,1,0,0,0
,,State Police:,,,,,,
,,Burlington County,1,0,1,0,0,0
,,Cumberland County,1,0,0,0,0,0
,,Salem County,1,0,0,0,0,0
,,Sussex County,3,0,0,0,0,0
,,Warren County ,1,0,0,0,0,0
New Mexico,Total,,8,9,9,0,0,0
,Cities,,8,9,9,0,0,0
,,Albuquerque,7,9,9,0,0,0
,,Los Lunas,1,0,0,0,0,0
New York,Total,,155,311,99,1,5,24
,Cities,,101,205,87,1,5,20
,,Albany,1,0,0,0,0,0
,,Amherst Town,2,0,0,0,0,0
,,Auburn,0,1,0,0,0,0
,,Bedford Town,0,1,0,0,0,0
,,Binghamton,1,0,0,0,0,0
,,Brighton Town,1,0,0,0,0,0
,,Buffalo,5,0,1,0,0,1
,,Cheektowaga Town,1,0,0,0,0,0
,,Clarkstown Town,1,2,0,0,0,0
,,Colonie Town,0,1,0,0,0,0
,,Cooperstown Village,1,0,0,0,0,0
,,Crawford Town,1,0,0,0,0,0
,,Dobbs Ferry Village,0,1,0,0,0,0
,,Elmira,1,0,0,0,0,0
,,Glen Cove,0,0,1,0,0,0
,,Hamburg Town,1,0,0,0,0,0
,,Lake Placid Village,1,0,0,0,0,0
,,Larchmont Village,0,2,0,0,0,0
,,Middletown,0,1,0,0,0,0
,,Monroe Village,0,3,0,0,0,0
,,New Rochelle,1,4,0,0,0,0
,,New York,74,183,79,1,5,19
,,Niagara Falls,0,0,1,0,0,0
,,North Tonawanda,2,0,0,0,0,0
,,Norwich,1,0,0,0,0,0
,,Peekskill,0,0,1,0,0,0
,,Ramapo Town,1,1,1,0,0,0
,,Rochester,1,0,1,0,0,0
,,Saratoga Springs,0,1,0,0,0,0
,,Schenectady,0,1,0,0,0,0
,,Southampton Town,1,0,0,0,0,0
,,Spring Valley Village,0,1,0,0,0,0
,,Utica,0,0,1,0,0,0
,,Wellsville Village,1,0,0,0,0,0
,,Yonkers,2,2,1,0,0,0
,Universities and Colleges,,15,10,4,0,0,3
,,Cornell University,0,0,2,0,0,0
,,State University of New York:,,,,,,
,,Binghamton,1,0,1,0,0,0
,,Buffalo,1,3,0,0,0,3
,,Downstate Medical Center,0,0,1,0,0,0
,,"State University of New York Agricultural and Technical College, Morrisville",4,2,0,0,0,0
,,State University of New York College:,,,,,,
,,Brockport,1,0,0,0,0,0
,,Buffalo,1,1,0,0,0,0
,,Geneseo,2,1,0,0,0,0
,,New Paltz,3,0,0,0,0,0
,,Plattsburgh,1,1,0,0,0,0
,,Potsdam,1,0,0,0,0,0
,,Purchase,0,2,0,0,0,0
,Metropolitan Counties,,17,79,4,0,0,1
,,Albany,1,0,0,0,0,0
,,Monroe,1,1,0,0,0,0
,,Nassau,7,45,0,0,0,0
,,Oswego,1,0,0,0,0,0
,,Saratoga,0,1,0,0,0,0
,,Schoharie,0,1,0,0,0,0
,,Suffolk County Police Department,7,30,4,0,0,1
,,Westchester Public Safety,0,1,0,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0,0
,,Chenango,1,0,0,0,0,0
,State Police Agencies,,10,5,4,0,0,0
,,State Police:,,,,,,
,,Albany County,1,1,1,0,0,0
,,Chemung County,0,1,0,0,0,0
,,Dutchess County,0,1,0,0,0,0
,,Franklin County,0,0,1,0,0,0
,,Jefferson County,1,0,1,0,0,0
,,Montgomery County,1,0,0,0,0,0
,,New York County,2,1,0,0,0,0
,,Niagara County,0,0,1,0,0,0
,,Orange County,0,1,0,0,0,0
,,Oswego County,1,0,0,0,0,0
,,Rockland County,1,0,0,0,0,0
,,Schoharie County,1,0,0,0,0,0
,,Wayne County,1,0,0,0,0,0
,,Westchester County,1,0,0,0,0,0
,Other Agencies,,11,12,0,0,0,0
,,New York City Metropolitan Transportation Authority,11,11,0,0,0,0
,,"State Park, Finger Lakes Region",0,1,0,0,0,0
North Carolina,Total,,99,21,26,0,1,2
,Cities,,75,17,24,0,0,1
,,Apex,3,0,0,0,0,0
,,Asheville,1,0,2,0,0,0
,,Boone,0,0,1,0,0,0
,,Charlotte-Mecklenburg,16,3,8,0,0,0
,,Concord,0,1,0,0,0,0
,,Durham,2,1,0,0,0,0
,,Fayetteville,7,0,0,0,0,0
,,Gastonia,3,0,0,0,0,0
,,Greensboro,1,4,1,0,0,0
,,Greenville,1,0,4,0,0,1
,,Hickory,1,0,0,0,0,0
,,High Point,5,0,0,0,0,0
,,Huntersville,1,0,0,0,0,0
,,Jacksonville,0,0,1,0,0,0
,,Littleton,1,0,0,0,0,0
,,Morganton,4,0,0,0,0,0
,,Raleigh,15,7,6,0,0,0
,,Roanoke Rapids2,4,0,0,0,0,0
,,Rockingham,1,0,0,0,0,0
,,Rocky Mount,1,0,0,0,0,0
,,Salisbury,3,0,0,0,0,0
,,Siler City,1,0,0,0,0,0
,,Wilmington,4,1,0,0,0,0
,,Wilson,0,0,1,0,0,0
,Universities and Colleges,,4,1,2,0,0,1
,,Duke University,0,1,0,0,0,0
,,East Carolina University,1,0,0,0,0,0
,,North Carolina Central University,0,0,1,0,0,1
,,North Carolina School of the Arts,2,0,0,0,0,0
,,"University of North Carolina, Greensboro",1,0,1,0,0,0
,Metropolitan Counties,,15,2,0,0,0,0
,,Forsyth,6,0,0,0,0,0
,,Franklin,4,0,0,0,0,0
,,Gaston County Police Department,1,0,0,0,0,0
,,Iredell,2,0,0,0,0,0
,,New Hanover,1,0,0,0,0,0
,,Randolph,0,1,0,0,0,0
,,Yadkin,1,1,0,0,0,0
,Nonmetropolitan Counties,,4,1,0,0,1,0
,,Jackson2,1,1,0,0,0,0
,,Moore,0,0,0,0,1,0
,,Sampson2,2,0,0,0,0,0
,,Surry,1,0,0,0,0,0
,Other Agencies,,1,0,0,0,0,0
,,University of North Carolina Hospitals,1,0,0,0,0,0
North Dakota,Total,,7,1,0,0,0,0
,Cities,,5,1,0,0,0,0
,,Bismarck,2,0,0,0,0,0
,,Grand Forks,0,1,0,0,0,0
,,Watford City,2,0,0,0,0,0
,,Williston,1,0,0,0,0,0
,Universities and Colleges,,1,0,0,0,0,0
