state,total,place,race,religion,sexual_orientation,ethnicity,disability
,,Kentucky State University,0,0,2,0,0
,,Northern Kentucky University,1,0,0,0,0
,,University of Kentucky,3,0,2,0,0
,Nonmetropolitan Counties,,3,0,0,0,0
,,Laurel,1,0,0,0,0
,,McCracken,2,0,0,0,0
,State Police Agencies,,2,0,0,0,0
,,State Police,2,0,0,0,0
LOUISIANA,Total,,60,1,3,3,0
,Cities,,56,0,2,1,0
,,Amite,0,0,0,1,0
,,Bossier City,2,0,1,0,0
,,Kenner,1,0,0,0,0
,,Mamou,49,0,0,0,0
,,Port Allen,4,0,1,0,0
,Metropolitan Counties,,4,1,1,2,0
,,Bossier,0,1,0,0,0
,,Caddo,0,0,1,0,0
,,Jefferson,3,0,0,1,0
,,Rapides,0,0,0,1,0
,,St. Tammany,1,0,0,0,0
MAINE,Total,,32,8,20,3,0
,Cities,,25,7,16,3,0
,,Augusta,5,1,0,0,0
,,Bangor,3,0,1,1,0
,,Biddeford,1,0,0,0,0
,,Damariscotta,0,0,1,0,0
,,Ellsworth,1,0,0,0,0
,,Fryeburg,1,0,0,0,0
,,Hallowell,1,0,0,0,0
,,Hampden,0,0,1,0,0
,,Kennebunk,1,0,0,0,0
,,Lewiston,1,0,0,0,0
,,Livermore Falls,0,0,0,1,0
,,Ogunquit,1,0,0,0,0
,,Old Orchard Beach,0,2,0,0,0
,,Portland,1,1,2,1,0
,,Saco,3,0,0,0,0
,,Sanford,3,2,1,0,0
,,South Portland,2,0,8,0,0
,,Waldoboro,0,0,1,0,0
,,Waterville,0,0,1,0,0
,,Wilton,0,1,0,0,0
,,York,1,0,0,0,0
,Universities and Colleges,,1,0,1,0,0
,,University of Southern Maine,1,0,1,0,0
,Metropolitan Counties,,3,1,2,0,0
,,Androscoggin,0,0,2,0,0
,,Cumberland,2,1,0,0,0
,,York,1,0,0,0,0
,Nonmetropolitan Counties,,2,0,1,0,0
,,Kennebec,1,0,1,0,0
,,Oxford,1,0,0,0,0
,State Police Agencies,,1,0,0,0,0
,,"State Police, York County",1,0,0,0,0
MARYLAND,Total,,55,27,11,7,0
,Cities,,3,1,2,0,0
,,Baltimore,1,0,2,0,0
,,Boonsboro,0,1,0,0,0
,,Elkton,1,0,0,0,0
,,Salisbury,1,0,0,0,0
,Universities and Colleges,,6,5,4,1,0
,,St. Mary's College,1,0,0,0,0
,,Towson University,5,4,3,0,0
,,University of Maryland:,,,,,
,,Baltimore County,0,1,1,0,0
,,College Park,0,0,0,1,0
,Metropolitan Counties,,40,19,5,5,0
,,Anne Arundel County Police Department,2,0,1,0,0
,,Baltimore County Police Department,3,3,2,1,0
,,Charles,1,0,0,0,0
,,Frederick,3,0,0,0,0
,,Harford,5,0,0,0,0
,,Howard County Police Department,16,3,1,2,0
,,Montgomery County Police Department,4,12,1,2,0
,,Prince George's County Police Department,6,1,0,0,0
,Nonmetropolitan Counties,,1,0,0,0,0
,,St. Mary's,1,0,0,0,0
,State Police Agencies,,5,2,0,1,0
,,State Police:,,,,,
,,Calvert County,1,0,0,0,0
,,Caroline County,1,0,0,0,0
,,Carroll County,1,1,0,1,0
,,Queen Anne's County,1,0,0,0,0
,,Washington County,1,0,0,0,0
,,Worcester County,0,1,0,0,0
MASSACHUSETTS,Total,,168,60,66,34,5
,Cities,,159,56,58,33,5
,,Acton,2,2,0,0,0
,,Andover,1,0,0,1,0
,,Arlington,2,0,0,0,0
,,Attleboro,1,0,0,0,0
,,Ayer,0,1,0,0,0
,,Barnstable,0,1,1,0,0
,,Belmont,1,0,0,1,0
,,Beverly,1,0,1,1,0
,,Boston,97,13,38,13,0
,,Boxborough,0,1,0,0,0
,,Braintree,1,0,0,0,0
,,Brockton,2,0,2,0,0
,,Brookline,1,3,0,0,0
,,Cambridge,3,0,0,1,0
,,Chatham,0,1,0,0,0
,,Chelmsford,2,0,0,0,0
,,Chicopee,1,0,0,1,0
,,Concord,0,1,0,0,0
,,Danvers,0,1,0,0,0
,,Douglas,1,0,0,0,0
,,East Longmeadow,0,1,0,0,0
,,Everett,2,0,0,2,0
,,Fall River,1,0,0,0,0
,,Falmouth,0,1,0,0,0
,,Fitchburg,0,1,0,1,0
,,Framingham,1,1,0,0,0
,,Grafton,0,0,1,0,0
,,Greenfield,0,0,1,0,0
,,Halifax,1,0,0,0,0
,,Hanson,0,0,1,0,0
,,Haverhill,2,0,2,1,1
,,Hull,0,1,0,0,0
,,Ludlow,1,0,0,0,0
,,Malden,3,0,0,1,0
,,Mansfield,1,1,0,0,0
,,Marshfield,2,0,0,0,0
,,Mashpee,1,0,0,0,0
,,Medford,1,0,0,0,0
,,Melrose,0,0,1,0,0
,,Middleboro,0,1,0,0,0
,,Milford,1,0,0,0,0
,,Monson,0,0,1,0,0
,,Montague,1,0,0,0,0
,,Natick,1,0,0,0,0
,,New Bedford,2,0,0,0,0
,,Newton,2,0,1,0,0
,,North Adams,1,0,0,1,0
,,Northampton,2,1,2,0,0
,,North Andover,1,0,0,0,0
,,North Attleboro,1,1,0,0,0
,,North Reading,0,0,1,0,0
,,Pepperell,0,1,0,0,0
,,Plainville,2,0,0,0,0
,,Plymouth,1,0,0,1,0
,,Quincy,2,1,0,1,0
,,Randolph,1,0,0,0,0
,,Raynham,0,1,0,0,0
,,Reading,0,2,0,0,0
,,Revere,2,5,1,4,2
,,Savoy,1,0,0,0,0
,,Sharon,0,1,0,0,0
,,Shelburne,1,0,0,0,0
,,Somerville,1,0,0,1,0
,,Southborough,0,3,0,0,0
,,Southbridge,0,1,0,0,0
,,Spencer,0,0,1,0,0
,,Springfield,1,0,1,0,0
,,Stoughton,0,1,0,0,0
,,Sunderland,0,1,0,0,0
,,Sutton,0,0,0,0,1
,,Swampscott,0,1,0,0,0
,,Taunton,0,0,0,0,1
,,Upton,0,0,1,0,0
,,Uxbridge,0,0,1,0,0
,,Ware,1,0,0,0,0
,,West Boylston,0,1,0,0,0
,,West Bridgewater,0,1,0,0,0
,,Westfield,0,0,0,1,0
,,Westford,1,0,0,0,0
,,Westport,0,1,0,0,0
,,West Springfield,1,1,0,1,0
,,Wilbraham,0,1,0,0,0
,Universities and Colleges,,9,4,8,1,0
,,Brandeis University,0,0,0,1,0
,,Emerson College,1,1,0,0,0
,,Massachusetts College of Liberal Arts,2,0,2,0,0
,,Mount Holyoke College,2,0,1,0,0
,,Northeastern University,3,0,3,0,0
,,Salem State College,0,0,1,0,0
,,University of Massachusetts:,,,,,
,,Amherst,0,2,0,0,0
,,"Harbor Campus, Boston",1,0,1,0,0
,,Westfield State College,0,1,0,0,0
MICHIGAN,Total,,391,52,65,45,7
,Cities,,333,42,55,34,7
,,Adrian,3,0,1,0,0
,,Albion,1,0,0,0,0
,,Algonac,1,0,0,0,0
,,Alpena,1,0,0,0,0
,,Ann Arbor,3,3,4,1,0
,,Argentine Township,0,0,0,1,0
,,Auburn Hills,0,0,0,1,0
,,Battle Creek,0,1,0,0,0
,,Bay City,2,0,1,0,0
,,Beaverton,1,0,0,0,0
,,Belleville,0,0,1,0,0
,,Benton Harbor,1,0,1,0,0
,,Benton Township,3,0,0,0,0
,,Berrien Springs-Oronoko Township,2,0,0,0,0
,,Blissfield,0,0,0,1,0
,,Bloomfield Township,0,1,0,0,0
,,Brighton,1,0,0,0,0
,,Brownstown Township,1,0,0,0,0
,,Buchanan,3,0,0,0,0
,,Burton,2,0,0,0,0
,,Cadillac,3,0,1,0,0
,,Canton Township,2,1,0,0,0
,,Carrollton Township,1,0,0,0,0
,,Charlotte,0,0,0,1,0
,,Chesterfield Township,4,1,0,1,0
,,Clawson,1,1,0,1,0
,,Clinton Township,8,0,0,0,0
,,Clio,1,0,0,0,1
,,Croswell,1,0,1,0,0
,,Davison Township,0,1,0,0,0
,,Dearborn,2,1,0,0,0
,,Dearborn Heights,2,0,0,0,0
,,Detroit,21,2,7,4,0
,,Dowagiac,3,0,0,0,0
,,East Lansing,0,1,0,0,0
,,Eastpointe,3,0,1,0,0
,,Eaton Rapids,0,0,1,0,0
,,Elk Rapids,2,0,0,0,0
,,Escanaba,3,0,1,0,0
,,Essexville,1,0,0,0,0
,,Farmington Hills,3,0,0,0,0
,,Ferndale,1,0,0,0,0
,,Flint,27,2,14,1,0
,,Flint Township,1,0,0,0,0
,,Forsyth Township,1,0,0,0,0
,,Frankenmuth,0,1,0,0,0
,,Fremont,3,0,0,1,0
,,Garden City,1,0,0,0,0
,,Genesee Township,12,0,0,0,0
,,Gibraltar,1,0,0,0,0
,,Grand Ledge,2,0,0,0,0
,,Grand Rapids,21,3,1,2,1
,,Grandville,1,0,0,0,0
,,Greenville,6,0,0,0,0
,,Grosse Pointe Farms,1,0,0,0,0
,,Grosse Pointe Woods,1,0,0,0,0
,,Hamburg Township,1,0,0,0,0
,,Hampton Township,5,1,1,0,0
,,Hamtramck,1,1,0,0,0
,,Hartford,1,0,0,1,0
,,Holland,1,0,1,1,0
,,Holly,1,0,0,0,0
,,Howell,0,0,1,0,0
,,Inkster,5,0,0,0,0
,,Ionia,1,0,0,0,0
,,Jackson,2,0,0,0,0
,,Kalamazoo Township,1,0,0,0,0
,,Kentwood,1,0,0,0,0
,,Lake Orion,1,0,0,1,0
,,Lansing,3,0,2,0,0
,,Lathrup Village,0,1,0,0,0
,,Leoni Township,2,0,0,0,0
,,Lincoln Township,0,1,0,0,0
,,Litchfield,1,0,0,0,0
,,Livonia,3,1,0,0,0
,,Mackinac Island,1,0,0,0,0
,,Madison Heights,5,0,0,0,0
,,Marshall,1,0,1,1,0
,,Mason,2,0,0,0,0
,,Mattawan,3,0,0,0,0
,,Memphis,1,0,0,0,0
,,Meridian Township,4,1,0,3,0
,,Milan,0,0,1,0,0
,,Monroe,8,1,0,1,0
,,Montrose Township,1,0,0,0,0
,,Morenci,2,0,0,0,0
,,Morrice,0,1,0,0,0
,,Mount Pleasant,1,0,2,0,0
,,Mundy Township,1,1,0,0,0
,,New Baltimore,1,0,0,0,0
,,New Haven,1,0,0,0,0
,,Niles,2,0,0,0,0
,,Northville,1,0,0,0,0
,,Northville Township,0,0,0,1,0
,,Oak Park,1,1,1,1,0
,,Ontwa Township-Edwardsburg,0,0,0,1,0
,,Pittsfield Township,5,0,0,0,0
,,Plymouth,0,0,0,1,0
,,Plymouth Township,2,0,0,0,0
,,Pontiac,3,0,0,0,0
,,Portage,2,0,1,0,0
,,Port Huron,2,0,1,0,0
,,Potterville,1,0,0,0,0
,,Riverview,1,0,0,0,0
,,Rose City,0,0,0,0,1
,,Roseville,5,0,0,0,1
,,Royal Oak,3,0,0,0,0
,,Saginaw,1,0,0,0,0
,,Saginaw Township,4,0,0,0,0
,,Saline,1,0,0,0,0
,,Scottville,1,0,0,0,0
,,Shelby Township,1,0,1,0,1
,,Southfield,5,3,1,0,0
,,South Lyon,1,0,0,0,0
,,Sparta,6,0,0,0,0
,,St. Charles,1,0,0,0,0
,,St. Clair,1,0,0,0,0
,,St. Clair Shores,1,0,0,0,0
,,Sterling Heights,5,0,1,1,0
,,Taylor,5,1,0,0,0
,,Tecumseh,1,0,0,0,0
,,Thomas Township,0,0,1,0,0
,,Three Rivers,2,0,0,0,0
,,Tittabawassee Township,1,0,1,0,0
,,Traverse City,1,0,0,0,0
,,Trenton,2,0,0,0,1
,,Troy,2,2,1,1,0
,,Utica,3,1,0,0,0
,,Vassar,2,0,0,0,0
,,Walled Lake,1,0,0,0,0
,,Warren,11,3,0,2,1
,,Waterford Township,6,0,0,0,0
,,Wayland,0,0,1,0,0
,,West Bloomfield Township,1,2,0,1,0
,,Westland,8,1,0,0,0
,,White Lake Township,0,0,0,2,0
,,Wixom,2,0,0,0,0
,,Yale,1,0,0,0,0
,,Ypsilanti,1,0,1,0,0
,Universities and Colleges,,7,0,2,0,0
,,Michigan Technological University,0,0,1,0,0
,,Mott Community College,1,0,0,0,0
,,Oakland Community College,1,0,0,0,0
,,Saginaw Valley State University,1,0,0,0,0
,,University of Michigan:,,,,,
,,Ann Arbor,1,0,1,0,0
,,Flint,3,0,0,0,0
,Metropolitan Counties,,40,5,8,10,0
,,Calhoun,1,0,0,1,0
,,Cass,1,0,0,0,0
,,Ingham,0,1,1,0,0
,,Ionia,1,0,0,0,0
,,Kalamazoo,3,0,0,0,0
,,Kent,4,0,1,2,0
,,Macomb,1,1,1,3,0
,,Monroe,10,0,1,1,0
,,Oakland3,13,3,2,3,0
,,St. Clair,3,0,1,0,0
,,Washtenaw,3,0,1,0,0
,Nonmetropolitan Counties,,10,3,0,1,0
,,Arenac,1,0,0,0,0
,,Crawford,0,0,0,1,0
,,Gladwin,1,0,0,0,0
,,Grand Traverse,2,0,0,0,0
,,Hillsdale,1,0,0,0,0
,,Huron,1,0,0,0,0
,,Isabella,1,0,0,0,0
,,Manistee,0,1,0,0,0
,,Mason,1,0,0,0,0
,,Otsego,1,1,0,0,0
,,St. Joseph,1,0,0,0,0
,,Tuscola,0,1,0,0,0
,State Police Agencies,,1,0,0,0,0
,,"State Police, Bay County",1,0,0,0,0
,Other Agencies,,0,2,0,0,0
,,"Huron-Clinton Metropolitan Authority, Kensington Metropark",0,1,0,0,0
,,Wayne County Airport,0,1,0,0,0
MINNESOTA,Total,,96,13,30,24,1
,Cities,,84,13,26,23,1
,,Austin,0,0,0,1,0
,,Bemidji,0,1,0,0,0
,,Blaine,0,0,0,1,0
,,Bloomington,1,0,1,0,0
,,Brooklyn Park,3,0,1,2,0
,,Coon Rapids,1,0,0,0,0
,,Cottage Grove,2,0,0,1,0
,,Crystal,0,0,0,1,0
,,Duluth,4,0,1,1,0
,,Elk River,1,0,1,0,0
,,Golden Valley,1,0,0,0,0
,,Hibbing,1,0,0,0,0
,,Inver Grove Heights,1,0,0,0,0
,,Mankato,4,2,2,6,1
,,Maple Grove,1,0,0,0,0
,,Marshall,3,0,0,0,0
,,Minneapolis,9,3,11,5,0
,,Minnetonka,0,0,1,0,0
,,Moorhead,0,0,1,0,0
,,New Brighton,1,0,0,0,0
,,New Hope,1,0,0,0,0
,,Plymouth,0,0,2,0,0
,,Red Wing,0,0,0,1,0
,,Rochester,6,1,0,0,0
,,Roseville,4,0,0,0,0
,,Sauk Rapids,1,0,0,0,0
,,Savage,1,0,0,0,0
,,Shakopee,2,0,0,0,0
,,Spring Lake Park,1,0,0,0,0
,,St. Cloud,5,1,1,2,0
,,Stillwater,1,0,0,0,0
,,St. Louis Park,1,1,1,0,0
,,St. Paul,21,4,2,2,0
,,Thief River Falls,0,0,1,0,0
,,Wadena,1,0,0,0,0
,,West Hennepin,1,0,0,0,0
,,White Bear Lake,2,0,0,0,0
,,Woodbury,3,0,0,0,0
,Universities and Colleges,,4,0,2,0,0
,,University of Minnesota:,,,,,
,,Duluth,0,0,1,0,0
,,Twin Cities,4,0,1,0,0
,Metropolitan Counties,,3,0,1,0,0
,,Anoka,1,0,0,0,0
,,Carver,1,0,0,0,0
,,Olmsted,1,0,1,0,0
,Nonmetropolitan Counties,,5,0,1,1,0
,,Beltrami,1,0,0,0,0
,,Big Stone,0,0,1,0,0
,,Crow Wing,1,0,0,0,0
,,Kanabec,2,0,0,1,0
,,Rice,1,0,0,0,0
MISSISSIPPI,Total,,4,0,0,0,0
,Cities,,4,0,0,0,0
,,Olive Branch,4,0,0,0,0
MISSOURI,Total,,70,9,14,6,0
,Cities,,59,9,12,5,0
,,Brunswick,1,0,0,0,0
,,Duquesne,1,0,0,0,0
,,Hannibal,1,0,0,0,0
,,Independence,5,2,2,0,0
,,Kansas City,5,2,2,3,0
,,Kennett,1,0,0,0,0
,,Lee's Summit,0,1,0,0,0
,,Liberty,1,0,0,0,0
,,Licking,1,0,0,0,0
,,Macon,0,0,1,0,0
,,Manchester,0,1,0,0,0
,,Maplewood,0,0,1,0,0
,,Osage Beach,1,0,0,0,0
,,Peculiar,1,0,0,0,0
,,Purdy,1,0,0,0,0
,,Raytown,4,0,1,0,0
,,Rolla,2,0,0,0,0
,,Sikeston,1,0,0,0,0
,,Springfield,18,3,3,1,0
,,St. Charles,1,0,0,0,0
,,Steelville,0,0,1,0,0
,,St. Louis,11,0,1,1,0
,,St. Peters,3,0,0,0,0
,Universities and Colleges,,1,0,1,0,0
,,University of Missouri:,,,,,
,,Columbia,1,0,0,0,0
,,Kansas City,0,0,1,0,0
,Metropolitan Counties,,8,0,0,1,0
,,Jefferson,4,0,0,0,0
,,St. Charles,2,0,0,0,0
,,St. Louis County Police Department,0,0,0,1,0
,,Warren,2,0,0,0,0
,Nonmetropolitan Counties,,2,0,1,0,0
,,Reynolds,0,0,1,0,0
,,Ripley,1,0,0,0,0
,,Shannon,1,0,0,0,0
MONTANA,Total,,8,5,6,4,1
,Cities,,6,3,5,2,0
,,Billings,3,1,0,2,0
,,Helena,0,1,2,0,0
,,Kalispell,0,0,1,0,0
,,Libby,0,0,1,0,0
,,Missoula,2,1,1,0,0
,,Polson,1,0,0,0,0
,Metropolitan Counties,,2,0,1,0,0
,,Missoula,2,0,1,0,0
,Nonmetropolitan Counties,,0,2,0,2,1
,,Deer Lodge,0,1,0,0,0
,,Flathead,0,0,0,1,0
,,Lewis and Clark,0,1,0,0,0
,,Silver Bow,0,0,0,0,1
,,Toole,0,0,0,1,0
NEBRASKA,Total,,3,2,3,3,0
,Cities,,2,2,3,2,0
,,Beatrice,0,0,1,0,0
,,Bellevue,1,0,0,0,0
,,Fremont,0,0,2,1,0
,,Hastings,0,1,0,0,0
,,Kearney,1,1,0,0,0
,,Valentine,0,0,0,1,0
,Nonmetropolitan Counties,,1,0,0,1,0
,,Dawson,1,0,0,0,0
,,Platte,0,0,0,1,0
NEVADA,Total,,44,19,13,18,0
,Cities,,43,19,13,18,0
,,Las Vegas Metropolitan Police Department,39,18,12,15,0
,,North Las Vegas,2,0,0,3,0
,,Reno,0,1,0,0,0
,,Sparks,1,0,0,0,0
,,West Wendover,1,0,1,0,0
,Nonmetropolitan Counties,,1,0,0,0,0
,,Humboldt,1,0,0,0,0
NEW HAMPSHIRE,Total,,26,5,10,2,1
,Cities,,25,5,10,2,1
,,Bow,0,0,1,0,0
,,Carroll,1,0,0,0,0
,,Claremont,0,1,0,1,0
,,Concord,3,0,1,0,0
,,Exeter,1,0,0,0,0
,,Hampton,0,1,0,0,0
,,Haverhill,0,0,1,0,0
,,Hinsdale,1,0,0,0,0
,,Hudson,1,0,1,0,0
,,Keene,3,0,0,0,0
,,Laconia,2,0,0,0,0
,,Littleton,1,0,0,0,1
,,Manchester,0,0,1,0,0
,,Merrimack,1,1,0,0,0
,,Nashua,3,2,0,1,0
,,Pelham,0,0,1,0,0
,,Peterborough,1,0,0,0,0
,,Plymouth,0,0,1,0,0
,,Portsmouth,0,0,1,0,0
,,Rindge,2,0,0,0,0
,,Rochester,2,0,0,0,0
,,Rye,1,0,0,0,0
,,Seabrook,1,0,1,0,0
,,Waterville Valley,0,0,1,0,0
,,Wilton,1,0,0,0,0
,Metropolitan Counties,,1,0,0,0,0
,,Rockingham,1,0,0,0,0
NEW JERSEY,Total,,340,265,82,55,2
,Cities,,338,265,81,55,2
,,Aberdeen Township,8,2,4,1,0
,,Absecon,0,2,0,0,0
,,Allendale,0,1,0,0,0
,,Asbury Park,3,2,1,1,0
,,Atlantic Highlands,2,1,0,1,0
,,Barnegat Township,2,1,0,0,0
,,Bayonne,6,0,0,0,0
,,Beachwood,1,0,0,0,0
,,Bedminster Township,0,0,0,1,0
,,Belleville,1,0,0,0,0
,,Bellmawr,1,0,0,0,0
,,Belmar,1,0,0,0,0
,,Bergenfield,1,0,0,0,0
,,Berkeley Township,0,0,1,0,0
,,Bloomfield,2,1,1,0,0
,,Boonton Township,0,1,0,0,0
,,Bordentown Township,1,0,0,0,0
,,Branchburg Township,0,0,0,1,0
,,Bridgeton,0,0,1,0,0
,,Bridgewater Township,2,2,0,0,0
,,Brigantine,1,1,0,0,0
,,Buena,3,0,0,0,0
,,Burlington,0,2,0,0,0
,,Burlington Township,2,0,0,1,0
,,Butler,0,1,0,1,0
,,Camden,3,1,0,0,0
,,Carteret,0,2,0,1,0
,,Cedar Grove Township,2,0,0,0,0
,,Chesterfield Township,1,0,0,0,0
,,Clifton,2,3,0,0,0
,,Collingswood,1,0,0,0,0
,,Cranford Township,1,1,0,0,0
,,Cresskill,0,1,0,0,0
,,Denville Township,1,2,1,1,0
,,Dunellen,2,0,0,0,0
,,East Brunswick Township,4,8,0,3,0
,,East Greenwich Township,1,0,0,1,0
,,East Hanover Township,1,0,0,0,0
,,East Orange,0,1,0,0,0
,,East Rutherford,1,0,0,0,0
,,East Windsor Township,3,4,0,0,0
,,Edison Township,1,1,1,0,0
,,Egg Harbor Township,1,3,0,0,0
,,Elizabeth,2,0,0,0,0
,,Englewood,1,0,0,0,0
,,Evesham Township,11,1,0,0,0
,,Ewing Township,4,2,0,0,0
,,Fair Lawn,0,8,0,0,0
,,Florence Township,0,3,0,0,0
,,Fort Lee,0,7,0,0,0
,,Franklin Lakes,1,1,0,0,0
,,"Franklin Township, Somerset County",0,0,1,0,0
,,Freehold,6,0,0,0,0
,,Freehold Township,5,4,0,0,0
,,Frenchtown,1,0,0,0,0
,,Galloway Township,3,1,0,0,0
,,Garfield,1,0,0,0,0
,,Gibbsboro,0,2,0,0,0
,,Glassboro,0,6,0,0,0
,,Glen Ridge,1,0,0,0,0
,,Glen Rock,0,1,0,0,0
,,Gloucester Township,4,2,0,0,0
,,"Greenwich Township, Warren County",2,0,0,0,0
,,Hackensack,1,1,0,0,0
,,Hackettstown,2,1,0,0,0
,,Haddonfield,0,0,1,0,0
,,Haddon Heights,1,0,0,0,0
,,"Hamilton Township, Mercer County",2,0,0,0,0
,,Hammonton,0,1,0,0,0
,,Harding Township,0,0,0,1,0
,,Harrison Township,1,0,0,0,0
,,Hazlet Township,3,2,2,0,0
,,Highland Park,0,1,1,0,0
,,Highlands,0,0,0,1,0
,,Hightstown,0,3,0,1,0
,,Hillsborough Township,1,2,0,0,0
,,Hoboken,1,1,1,0,0
,,Howell Township,12,6,4,2,0
,,Irvington,0,0,1,0,0
,,Jackson Township,10,5,2,0,0
,,Jersey City,6,5,5,4,0
,,Keansburg,36,5,7,10,0
,,Kearny,0,0,1,1,0
,,Lacey Township,1,2,0,1,0
,,Lakewood Township,4,12,0,0,0
,,Lambertville,0,0,1,0,0
,,"Lawrence Township, Mercer County",3,2,2,0,0
,,Lincoln Park,1,1,0,0,0
,,Linden,1,3,3,1,0
,,Lindenwold,1,0,0,0,0
,,Little Egg Harbor Township,5,5,0,0,0
,,Little Falls Township,0,0,0,1,0
,,Livingston Township,1,1,0,0,0
,,Lodi,0,1,0,0,0
,,Long Hill Township,0,0,0,1,0
,,Lumberton Township,3,3,0,0,0
,,Madison,0,0,0,1,0
,,Mahwah Township,0,3,0,0,0
,,Manalapan Township,1,4,2,2,0
,,Manasquan,0,1,1,0,0
,,Manchester Township,0,1,0,0,1
,,"Mansfield Township, Burlington County",2,1,0,0,0
,,"Mansfield Township, Warren County",1,0,0,1,0
,,Mantua Township,1,1,0,0,0
,,Maple Shade Township,2,0,0,0,0
,,Maplewood Township,1,0,0,0,0
,,Marlboro Township,3,6,0,0,0
,,Mendham,0,1,0,0,0
,,Metuchen,0,1,0,0,0
,,Middlesex,0,2,0,0,0
,,Middle Township,1,0,0,0,0
,,Middletown Township,0,6,3,0,0
,,Milltown,0,0,0,1,0
,,Millville,1,0,0,0,0
,,"Monroe Township, Gloucester County",0,1,0,0,0
,,"Monroe Township, Middlesex County",0,2,1,0,0
,,Montgomery Township,0,2,0,0,0
,,Montville Township,2,2,0,0,0
,,Moorestown Township,1,0,0,0,0
,,Morris Township,0,1,0,0,0
,,Mount Holly Township,1,0,0,0,0
,,Mount Olive Township,1,2,0,1,0
,,Mullica Township,2,0,0,0,0
,,National Park,0,1,0,0,0
,,Neptune City,1,2,0,0,0
,,Neptune Township,8,1,7,0,0
,,Newark,1,1,1,0,0
,,New Brunswick,2,14,2,1,0
,,New Milford,0,1,0,0,0
,,Newton,2,0,0,0,0
,,North Brunswick Township,3,2,0,0,0
,,North Caldwell,0,1,0,0,0
,,Nutley Township,0,2,0,0,0
,,"Ocean Township, Ocean County",0,1,0,0,0
,,Old Bridge Township,0,1,2,1,0
,,Oradell,0,0,0,1,0
,,Orange,0,0,1,0,0
,,Palmyra,1,1,0,0,0
,,Paramus,4,3,0,0,0
,,Parsippany-Troy Hills Township,3,4,0,0,0
,,Passaic,1,0,0,0,0
,,Paterson,0,0,1,0,0
,,Paulsboro,1,0,0,0,0
,,Pemberton Township,1,0,0,0,0
,,Phillipsburg,2,0,0,0,0
,,Pine Hill,1,0,0,0,0
,,Piscataway Township,0,2,0,0,0
,,Pitman,4,1,0,0,0
,,Plainfield,0,2,0,0,0
,,Plainsboro Township,0,0,1,0,0
,,Pompton Lakes,0,1,0,0,0
,,Princeton,0,2,0,0,0
,,Rahway,0,0,0,1,0
,,Randolph Township,0,2,0,0,0
,,Raritan,1,1,1,0,0
,,Raritan Township,1,1,0,0,0
,,Ridgewood,2,2,0,0,0
,,Riverside Township,1,0,0,0,0
,,River Vale Township,0,1,0,0,0
,,Robbinsville Township,0,0,0,1,0
,,Roselle,1,0,1,0,0
,,Roxbury Township,1,0,0,0,0
,,Runnemede,2,0,0,1,0
,,Salem,0,1,0,0,0
,,Sayreville,0,0,0,1,0
,,Sea Isle City,0,2,0,0,0
,,Seaside Heights,3,1,0,0,0
,,Seaside Park,0,1,0,0,0
,,Secaucus,0,0,1,0,0
,,Shrewsbury,2,0,0,1,0
,,Somers Point,0,1,0,0,0
,,Somerville,4,0,1,0,0
,,South Amboy,1,1,0,0,0
,,South Brunswick Township,1,1,2,1,0
,,South Orange,3,1,1,0,0
,,South Plainfield,5,0,0,0,0
,,South River,2,1,0,0,0
,,South Toms River,1,0,0,0,0
,,Spotswood,5,2,2,0,0
,,Stafford Township,3,3,0,0,1
,,Summit,1,0,0,0,0
,,Teaneck Township,4,3,2,0,0
,,Tinton Falls,1,0,0,0,0
,,Trenton,1,1,0,0,0
,,Tuckerton,1,0,0,0,0
,,Union Beach,1,1,0,0,0
,,Union Township,0,1,0,1,0
,,Ventnor City,0,0,2,0,0
,,Vernon Township,0,0,1,0,0
,,Voorhees Township,2,0,0,0,0
,,Washington,1,0,1,0,0
,,"Washington Township, Gloucester County",4,5,0,0,0
,,Waterford Township,1,0,0,0,0
,,West Deptford Township,4,1,0,0,0
,,West Long Branch,1,1,1,0,0
,,Willingboro Township,1,1,0,0,0
,,Winslow Township,7,1,1,0,0
,,Woodbridge Township,2,3,0,2,0
,,Woodbury,12,0,0,0,0
,State Police Agencies,,2,0,1,0,0
,,State Police:,,,,,
,,Cape May County,1,0,0,0,0
,,Hunterdon County,0,0,1,0,0
,,Sussex County,1,0,0,0,0
NEW MEXICO,Total,,4,0,3,2,0
,Cities,,4,0,3,1,0
,,Albuquerque,4,0,2,0,0
,,Aztec,0,0,0,1,0
,,Los Alamos,0,0,1,0,0
,Metropolitan Counties,,0,0,0,1,0
,,San Juan,0,0,0,1,0
NEW YORK,Total,,179,260,83,47,1
,Cities,,103,155,63,22,1
,,Albany,4,2,0,3,0
,,Amherst Town,4,1,0,0,0
,,Binghamton,1,0,0,0,0
,,Brighton Town,0,1,0,0,0
,,Buffalo,6,1,1,3,0
,,Cheektowaga Town,1,1,0,0,0
,,Dewitt Town,0,1,0,0,0
,,Dobbs Ferry Village,0,1,0,0,0
,,East Hampton Town,1,0,0,0,0
,,Fort Edward Village,1,0,0,0,0
,,Guilderland Town,0,1,0,0,0
,,Hempstead Village,1,0,0,0,0
,,Hunter Town,0,1,0,0,0
,,Jamestown,2,0,2,0,0
,,Macedon Town and Village,1,0,0,0,0
,,Mount Pleasant Town,0,1,0,0,0
,,Newburgh,2,1,1,1,0
