state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity,,,,,
,,Salina,3,0,0,0,0,0,,,,,
,,Topeka,1,0,0,0,0,0,,,,,
,,Valley Center,0,1,0,0,0,0,,,,,
,,Wichita,10,3,2,0,0,0,,,,,
,,Winfield,1,0,0,0,0,0,,,,,
,Universities and Colleges,,1,0,1,0,0,0,,,,,
,,Kansas State University,0,0,1,0,0,0,,,,,
,,"University of Kansas, Medical Center2",1,0,0,0,0,0,,,,,
,Metropolitan Counties,,3,0,2,0,0,0,,,,,
,,Riley County Police Department,0,0,1,0,0,0,,,,,
,,Sedgwick,1,0,0,0,0,0,,,,,
,,Shawnee,0,0,1,0,0,0,,,,,
,,Sumner,1,0,0,0,0,0,,,,,
,,Wyandotte,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,4,1,0,0,0,0,,,,,
,,Cowley,1,0,0,0,0,0,,,,,
,,Crawford,1,0,0,0,0,0,,,,,
,,Ellis,0,1,0,0,0,0,,,,,
,,Ford,1,0,0,0,0,0,,,,,
,,Gray,1,0,0,0,0,0,,,,,
,State Police Agencies,,1,0,0,0,0,0,,,,,
,,Kansas Highway Patrol,1,0,0,0,0,0,,,,,
,Other Agencies,,1,0,0,0,0,0,,,,,
,,Blue Valley School District,1,0,0,0,0,0,,,,,
Kentucky,Total,,113,53,19,2,0,1,,,,,
,Cities,,80,44,17,2,0,0,,,,,
,,Alexandria,0,1,0,0,0,0,,,,,
,,Anchorage,0,0,0,1,0,0,,,,,
,,Ashland,3,2,0,0,0,0,,,,,
,,Bardstown,2,0,0,0,0,0,,,,,
,,Benton,0,1,0,0,0,0,,,,,
,,Bowling Green,5,4,0,0,0,0,,,,,
,,Brownsville,0,0,1,0,0,0,,,,,
,,Carrollton,1,0,0,0,0,0,,,,,
,,Corbin,1,0,0,0,0,0,,,,,
,,Covington,2,2,1,0,0,0,,,,,
,,Dawson Springs,0,0,2,0,0,0,,,,,
,,Dayton,2,0,0,0,0,0,,,,,
,,Erlanger,3,0,0,0,0,0,,,,,
,,Flemingsburg,0,1,0,0,0,0,,,,,
,,Florence,1,0,1,0,0,0,,,,,
,,Frankfort,2,3,0,0,0,0,,,,,
,,Franklin,1,0,0,0,0,0,,,,,
,,Georgetown,5,0,0,0,0,0,,,,,
,,Glasgow,2,1,0,0,0,0,,,,,
,,Henderson,2,1,1,0,0,0,,,,,
,,Independence,0,2,0,0,0,0,,,,,
,,Indian Hills,0,1,0,0,0,0,,,,,
,,La Grange,0,0,0,1,0,0,,,,,
,,Lexington,10,11,4,0,0,0,,,,,
,,Louisville Metro,9,1,3,0,0,0,,,,,
,,Lynnview,1,0,0,0,0,0,,,,,
,,Mayfield,5,0,0,0,0,0,,,,,
,,Monticello,1,0,0,0,0,0,,,,,
,,Murray,0,2,0,0,0,0,,,,,
,,Newport,2,1,0,0,0,0,,,,,
,,Nicholasville,1,0,0,0,0,0,,,,,
,,Oak Grove,1,0,0,0,0,0,,,,,
,,Owensboro,3,1,1,0,0,0,,,,,
,,Owingsville,1,0,0,0,0,0,,,,,
,,Paducah,1,3,1,0,0,0,,,,,
,,Paris,1,0,0,0,0,0,,,,,
,,Pembroke,1,0,0,0,0,0,,,,,
,,Princeton,2,0,1,0,0,0,,,,,
,,Scottsville,1,0,0,0,0,0,,,,,
,,Shepherdsville,2,1,0,0,0,0,,,,,
,,Shively,2,1,0,0,0,0,,,,,
,,Simpsonville,1,0,0,0,0,0,,,,,
,,Taylor Mill,2,0,0,0,0,0,,,,,
,,Taylorsville,0,1,0,0,0,0,,,,,
,,Versailles,0,2,0,0,0,0,,,,,
,,West Buechel,0,1,0,0,0,0,,,,,
,,Winchester,1,0,1,0,0,0,,,,,
,Universities and Colleges,,6,0,1,0,0,0,,,,,
,,Eastern Kentucky University,1,0,0,0,0,0,,,,,
,,Murray State University,1,0,1,0,0,0,,,,,
,,Northern Kentucky University,1,0,0,0,0,0,,,,,
,,University of Kentucky,2,0,0,0,0,0,,,,,
,,University of Louisville,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,9,1,1,0,0,1,,,,,
,,Boone,1,0,0,0,0,1,,,,,
,,Bracken,0,0,1,0,0,0,,,,,
,,Bullitt,1,0,0,0,0,0,,,,,
,,Campbell County Police Department,1,0,0,0,0,0,,,,,
,,Larue,0,1,0,0,0,0,,,,,
,,Meade,1,0,0,0,0,0,,,,,
,,Scott,1,0,0,0,0,0,,,,,
,,Shelby,1,0,0,0,0,0,,,,,
,,Warren,3,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,11,1,0,0,0,0,,,,,
,,Anderson,0,1,0,0,0,0,,,,,
,,Ballard,1,0,0,0,0,0,,,,,
,,Bell,1,0,0,0,0,0,,,,,
,,Franklin,1,0,0,0,0,0,,,,,
,,Graves,1,0,0,0,0,0,,,,,
,,Grayson,1,0,0,0,0,0,,,,,
,,Jackson,1,0,0,0,0,0,,,,,
,,Laurel,1,0,0,0,0,0,,,,,
,,Mason,1,0,0,0,0,0,,,,,
,,Union,1,0,0,0,0,0,,,,,
,,Webster,2,0,0,0,0,0,,,,,
,State Police Agencies,,4,7,0,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Ashland,0,2,0,0,0,0,,,,,
,,Bowling Green,1,0,0,0,0,0,,,,,
,,Dry Ridge,0,1,0,0,0,0,,,,,
,,Hazard,1,0,0,0,0,0,,,,,
,,London,0,2,0,0,0,0,,,,,
,,Madisonville,0,1,0,0,0,0,,,,,
,,Mayfield,1,0,0,0,0,0,,,,,
,,Morehead,1,0,0,0,0,0,,,,,
,,Pikeville,0,1,0,0,0,0,,,,,
,Other Agencies,,3,0,0,0,0,0,,,,,
,,Fayette County Schools,1,0,0,0,0,0,,,,,
,,Jefferson County School District,2,0,0,0,0,0,,,,,
Louisiana,Total,,22,11,5,0,0,0,,,,,
,Cities,,7,0,3,0,0,0,,,,,
,,Mamou,1,0,0,0,0,0,,,,,
,,Natchitoches,1,0,0,0,0,0,,,,,
,,New Orleans,2,0,3,0,0,0,,,,,
,,Shreveport,1,0,0,0,0,0,,,,,
,,Vinton,1,0,0,0,0,0,,,,,
,,Westlake,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,13,11,2,0,0,0,,,,,
,,Bossier,1,1,0,0,0,0,,,,,
,,Calcasieu,0,9,1,0,0,0,,,,,
,,East Feliciana,1,0,0,0,0,0,,,,,
,,Jefferson,1,0,1,0,0,0,,,,,
,,Lafourche,8,0,0,0,0,0,,,,,
,,Ouachita,0,1,0,0,0,0,,,,,
,,St. Charles,1,0,0,0,0,0,,,,,
,,St. Helena,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,2,0,0,0,0,0,,,,,
,,Madison,2,0,0,0,0,0,,,,,
Maine,Total,,16,9,13,0,0,0,,,,,
,Cities,,15,9,11,0,0,0,,,,,
,,Augusta,2,0,2,0,0,0,,,,,
,,Brewer,1,0,0,0,0,0,,,,,
,,Islesboro,0,0,2,0,0,0,,,,,
,,Lewiston,4,0,0,0,0,0,,,,,
,,Livermore Falls,1,0,0,0,0,0,,,,,
,,Old Orchard Beach,2,0,1,0,0,0,,,,,
,,Portland,1,5,1,0,0,0,,,,,
,,Saco,1,1,3,0,0,0,,,,,
,,Sanford,0,1,0,0,0,0,,,,,
,,Scarborough,1,1,0,0,0,0,,,,,
,,South Portland,1,1,2,0,0,0,,,,,
,,Topsham,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,0,0,2,0,0,0,,,,,
,,Sagadahoc,0,0,2,0,0,0,,,,,
,State Police Agencies,,1,0,0,0,0,0,,,,,
,,"State Police, Franklin County",1,0,0,0,0,0,,,,,
Maryland,Total,,22,14,7,0,0,0,,,,,
,Cities,,7,1,5,0,0,0,,,,,
,,Baltimore,1,1,2,0,0,0,,,,,
,,Bowie,0,0,1,0,0,0,,,,,
,,Frederick,1,0,0,0,0,0,,,,,
,,Greenbelt,1,0,2,0,0,0,,,,,
,,Laurel,4,0,0,0,0,0,,,,,
,Universities and Colleges,,0,1,0,0,0,0,,,,,
,,Towson University,0,1,0,0,0,0,,,,,
,Metropolitan Counties,,13,12,2,0,0,0,,,,,
,,Baltimore County Police Department,1,0,1,0,0,0,,,,,
,,Frederick,1,0,1,0,0,0,,,,,
,,Harford,1,0,0,0,0,0,,,,,
,,Montgomery County Police Department3,10,12,0,0,0,0,,,,,
,State Police Agencies,,2,0,0,0,0,0,,,,,
,,"State Police, Carroll County",2,0,0,0,0,0,,,,,
Massachusetts,Total,,198,81,81,4,15,45,,,,,
,Cities,,184,69,77,4,15,45,,,,,
,,Acton3,2,6,0,0,0,1,,,,,
,,Agawam,0,0,2,0,0,0,,,,,
,,Amesbury,2,0,0,0,0,0,,,,,
,,Andover,1,0,1,0,0,0,,,,,
,,Arlington,1,2,0,0,1,1,,,,,
,,Attleboro,1,0,1,0,0,0,,,,,
,,Barnstable,1,0,0,0,0,0,,,,,
,,Bedford,1,0,0,0,0,0,,,,,
,,Bellingham,1,0,0,0,0,0,,,,,
,,Belmont,0,1,0,0,0,0,,,,,
,,Beverly,0,1,0,0,0,0,,,,,
,,Billerica,0,1,0,0,0,0,,,,,
,,Boston3,81,14,46,0,1,6,,,,,
,,Braintree,3,0,0,0,0,0,,,,,
,,Brockton,0,0,0,1,0,0,,,,,
,,Cambridge,10,7,2,0,0,0,,,,,
,,Chicopee,2,0,1,0,0,0,,,,,
,,Cohasset,0,0,0,0,1,0,,,,,
,,Danvers3,2,2,1,0,1,0,,,,,
,,Dracut,0,1,0,0,0,0,,,,,
,,Easthampton,0,0,1,0,0,0,,,,,
,,Everett,2,0,0,0,0,0,,,,,
,,Falmouth,1,0,0,0,0,0,,,,,
,,Granby,1,0,0,0,0,0,,,,,
,,Haverhill,2,0,0,0,0,3,,,,,
,,Hingham,1,0,0,0,0,1,,,,,
,,Lowell,0,1,0,0,0,1,,,,,
,,Ludlow,1,0,0,0,0,0,,,,,
,,Lynn,7,2,1,1,1,7,,,,,
,,Malden,1,1,1,0,0,5,,,,,
,,Mansfield,0,3,0,0,0,0,,,,,
,,Marblehead,0,1,0,0,0,0,,,,,
,,Medford,5,1,1,0,2,0,,,,,
,,Mendon,0,1,0,0,0,0,,,,,
,,Methuen,2,0,0,0,0,0,,,,,
,,Middleboro3,1,0,0,1,0,0,,,,,
,,Milford,1,0,0,0,0,0,,,,,
,,Milton,0,2,0,0,0,0,,,,,
,,Montague,0,1,0,0,0,0,,,,,
,,Nahant,1,0,0,0,0,0,,,,,
,,Natick,0,0,1,0,0,0,,,,,
,,Newton3,4,3,1,0,1,2,,,,,
,,Northampton3,1,1,1,0,0,0,,,,,
,,North Attleboro,0,0,0,0,1,0,,,,,
,,Northbridge,0,1,0,0,0,0,,,,,
,,Northfield,0,2,0,0,0,0,,,,,
,,Norton,0,0,0,0,0,1,,,,,
,,Palmer,1,0,0,0,0,0,,,,,
,,Plymouth,3,2,0,0,0,0,,,,,
,,Provincetown3,1,0,2,0,0,0,,,,,
,,Quincy3,16,4,1,0,0,2,,,,,
,,Randolph,1,0,0,0,0,0,,,,,
,,Raynham,0,1,1,0,0,0,,,,,
,,Reading,1,0,0,0,0,0,,,,,
,,Rockport,0,1,0,0,0,0,,,,,
,,Salem,3,1,3,0,0,0,,,,,
,,Salisbury,1,0,0,0,0,0,,,,,
,,Sherborn,0,1,0,0,0,0,,,,,
,,Somerville3,3,0,1,0,1,1,,,,,
,,Southborough,1,0,0,0,0,0,,,,,
,,South Hadley,0,0,1,0,0,0,,,,,
,,Springfield,4,0,3,0,0,0,,,,,
,,Stoneham,3,1,0,0,0,1,,,,,
,,Stoughton,0,0,1,0,0,0,,,,,
,,Sutton,1,0,0,0,0,0,,,,,
,,Swampscott,0,0,0,0,2,0,,,,,
,,Taunton,0,0,1,0,3,10,,,,,
,,Tisbury,1,0,0,0,0,0,,,,,
,,Wakefield,0,1,0,0,0,0,,,,,
,,Waltham,0,0,1,1,0,3,,,,,
,,Wareham,1,0,0,0,0,0,,,,,
,,Watertown,0,1,1,0,0,0,,,,,
,,Woburn,1,0,0,0,0,0,,,,,
,,Worcester,3,1,0,0,0,0,,,,,
,Universities and Colleges,,13,10,4,0,0,0,,,,,
,,Bentley University,0,1,0,0,0,0,,,,,
,,Boston University,3,1,1,0,0,0,,,,,
,,Bristol Community College,1,0,0,0,0,0,,,,,
,,Clark University,0,2,0,0,0,0,,,,,
,,Emerson College,1,0,0,0,0,0,,,,,
,,Endicott College,0,1,0,0,0,0,,,,,
,,Framingham State University,0,1,0,0,0,0,,,,,
,,Massachusetts Institute of Technology,3,0,0,0,0,0,,,,,
,,Northeastern University,4,4,3,0,0,0,,,,,
,,Springfield Technical Community College,1,0,0,0,0,0,,,,,
,Other Agencies,,1,2,0,0,0,0,,,,,
,,Massachusetts General Hospital,1,2,0,0,0,0,,,,,
Michigan,Total,,198,48,51,11,1,0,,,,,
,Cities,,167,35,41,10,1,0,,,,,
,,Adrian,1,0,0,0,0,0,,,,,
,,Albion,0,3,1,0,1,0,,,,,
,,Ann Arbor,3,3,2,0,0,0,,,,,
,,Bangor,1,0,0,0,0,0,,,,,
,,Battle Creek,2,0,0,0,0,0,,,,,
,,Benton Harbor,1,0,0,0,0,0,,,,,
,,Berkley,2,0,0,0,0,0,,,,,
,,Blackman Township,1,0,0,0,0,0,,,,,
,,Bloomfield Hills,1,0,0,0,0,0,,,,,
,,Bloomfield Township,1,0,0,0,0,0,,,,,
,,Cadillac,2,1,0,0,0,0,,,,,
,,Calumet,1,0,0,0,0,0,,,,,
,,Canton Township,1,0,1,0,0,0,,,,,
,,Cassopolis,1,0,0,0,0,0,,,,,
,,Cheboygan,1,0,0,0,0,0,,,,,
,,Chocolay Township,0,1,0,0,0,0,,,,,
,,Clay Township,0,1,0,0,0,0,,,,,
,,Clinton Township,1,0,1,1,0,0,,,,,
,,Clio,1,0,0,0,0,0,,,,,
,,Coleman,1,0,0,0,0,0,,,,,
,,Dearborn,3,3,0,0,0,0,,,,,
,,Decatur,1,0,0,0,0,0,,,,,
,,Detroit,2,0,6,0,0,0,,,,,
,,East Lansing,3,0,0,0,0,0,,,,,
,,Elsie,1,0,0,0,0,0,,,,,
,,Ferndale,1,1,1,0,0,0,,,,,
,,Flint,3,0,1,2,0,0,,,,,
,,Flint Township,2,0,0,0,0,0,,,,,
,,Fraser,1,1,0,0,0,0,,,,,
,,Galesburg,13,0,0,0,0,0,,,,,
,,Gaylord,1,0,0,0,0,0,,,,,
,,Genesee Township,1,1,0,0,0,0,,,,,
,,Gibraltar,1,0,0,0,0,0,,,,,
,,Grand Haven,1,0,0,0,0,0,,,,,
,,Grand Rapids,3,0,0,0,0,0,,,,,
,,Grandville,2,0,0,0,0,0,,,,,
,,Grosse Pointe Woods,0,0,1,0,0,0,,,,,
,,Hamtramck,0,3,0,0,0,0,,,,,
,,Highland Township,1,0,0,0,0,0,,,,,
,,Hillsdale,3,0,0,0,0,0,,,,,
,,Holland,1,0,1,0,0,0,,,,,
,,Howell,1,0,0,0,0,0,,,,,
,,Huron Township,0,0,0,1,0,0,,,,,
,,Independence Township,1,1,0,0,0,0,,,,,
,,Jackson,1,1,3,0,0,0,,,,,
,,Keego Harbor,1,0,0,0,0,0,,,,,
,,Kentwood,1,3,1,0,0,0,,,,,
,,Kinde,1,0,0,0,0,0,,,,,
,,Lake Linden,1,0,0,0,0,0,,,,,
,,Lansing,2,0,3,0,0,0,,,,,
,,Lansing Township,0,0,0,2,0,0,,,,,
,,Lapeer,4,0,0,0,0,0,,,,,
,,Lincoln Park,2,0,0,0,0,0,,,,,
,,Marshall,0,2,0,0,0,0,,,,,
,,Mason,2,0,0,0,0,0,,,,,
,,Meridian Township,1,1,1,1,0,0,,,,,
,,Milan,1,0,0,0,0,0,,,,,
,,Milford,0,1,0,0,0,0,,,,,
,,Monroe,5,0,1,0,0,0,,,,,
,,Muskegon,3,0,1,0,0,0,,,,,
,,Muskegon Township,1,0,0,0,0,0,,,,,
,,Negaunee,1,0,0,0,0,0,,,,,
,,Northfield Township,1,0,1,0,0,0,,,,,
,,Northville Township,1,0,0,0,0,0,,,,,
,,Oscoda Township,2,0,1,0,0,0,,,,,
,,Owosso,3,0,0,0,0,0,,,,,
,,Oxford Township,2,0,0,0,0,0,,,,,
,,Pittsfield Township,0,0,1,0,0,0,,,,,
,,Pleasant Ridge,0,0,1,0,0,0,,,,,
,,Port Huron,6,0,0,0,0,0,,,,,
,,Redford Township,1,0,0,0,0,0,,,,,
,,Rochester,2,0,0,1,0,0,,,,,
,,Rochester Hills,2,0,1,0,0,0,,,,,
,,Romulus,1,0,0,0,0,0,,,,,
,,Roseville,8,0,1,0,0,0,,,,,
,,Royal Oak,2,1,0,0,0,0,,,,,
,,Saginaw,1,0,1,0,0,0,,,,,
,,Saline,0,0,1,0,0,0,,,,,
,,Shelby Township,3,0,0,0,0,0,,,,,
,,Southfield,5,1,1,0,0,0,,,,,
,,St. Clair Shores,2,0,0,0,0,0,,,,,
,,St. Joseph,2,0,0,0,0,0,,,,,
,,Swartz Creek,1,0,0,0,0,0,,,,,
,,Taylor,0,0,2,0,0,0,,,,,
,,Traverse City,1,1,2,0,0,0,,,,,
,,Trenton,2,0,0,0,0,0,,,,,
,,Troy,3,1,0,0,0,0,,,,,
,,Van Buren Township,1,0,0,0,0,0,,,,,
,,Vassar,0,0,1,0,0,0,,,,,
,,Warren3,13,2,2,2,0,0,,,,,
,,Wayne,1,0,0,0,0,0,,,,,
,,West Bloomfield Township,2,1,0,0,0,0,,,,,
,,Westland,0,1,0,0,0,0,,,,,
,,Wixom,1,0,0,0,0,0,,,,,
,,Yale,1,0,0,0,0,0,,,,,
,,Ypsilanti,2,0,0,0,0,0,,,,,
,Universities and Colleges,,3,2,2,0,0,0,,,,,
,,Eastern Michigan University,0,0,1,0,0,0,,,,,
,,Ferris State University,1,0,0,0,0,0,,,,,
,,Michigan State University,1,1,1,0,0,0,,,,,
,,"University of Michigan, Ann Arbor",1,1,0,0,0,0,,,,,
,Metropolitan Counties,,19,7,3,1,0,0,,,,,
,,Calhoun,1,0,0,0,0,0,,,,,
,,Eaton,2,0,1,0,0,0,,,,,
,,Genesee,0,1,0,0,0,0,,,,,
,,Kalamazoo,1,0,0,0,0,0,,,,,
,,Kent,1,1,1,0,0,0,,,,,
,,Lapeer,1,1,0,0,0,0,,,,,
,,Livingston,1,0,0,1,0,0,,,,,
,,Macomb,2,0,0,0,0,0,,,,,
,,Midland,1,0,0,0,0,0,,,,,
,,Monroe,1,1,0,0,0,0,,,,,
,,Montcalm,0,1,0,0,0,0,,,,,
,,Oakland,1,0,0,0,0,0,,,,,
,,Ottawa,2,0,0,0,0,0,,,,,
,,Van Buren,1,1,0,0,0,0,,,,,
,,Washtenaw,4,1,1,0,0,0,,,,,
,Nonmetropolitan Counties,,7,2,4,0,0,0,,,,,
,,Allegan,1,0,0,0,0,0,,,,,
,,Cheboygan,1,0,0,0,0,0,,,,,
,,Emmet,0,0,2,0,0,0,,,,,
,,Grand Traverse,2,1,1,0,0,0,,,,,
,,Ionia,1,0,0,0,0,0,,,,,
,,Missaukee,1,1,1,0,0,0,,,,,
,,Oceana,1,0,0,0,0,0,,,,,
,State Police Agencies,,2,1,1,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,Kent County,1,0,0,0,0,0,,,,,
,,Monroe County,1,0,0,0,0,0,,,,,
,,Montcalm County,0,1,0,0,0,0,,,,,
,,Oakland County,0,0,1,0,0,0,,,,,
,Other Agencies,,0,1,0,0,0,0,,,,,
,,Wayne County Airport,0,1,0,0,0,0,,,,,
Minnesota,Total,,58,20,31,0,0,0,,,,,
,Cities,,58,19,30,0,0,0,,,,,
,,Blaine,1,0,0,0,0,0,,,,,
,,Brooklyn Park,5,1,2,0,0,0,,,,,
,,Coon Rapids,2,0,0,0,0,0,,,,,
,,Duluth,2,0,0,0,0,0,,,,,
,,Eagan,1,0,0,0,0,0,,,,,
,,Eden Prairie,1,0,0,0,0,0,,,,,
,,Hopkins,2,0,0,0,0,0,,,,,
,,Inver Grove Heights,1,0,0,0,0,0,,,,,
,,Mankato,10,1,0,0,0,0,,,,,
,,Maple Grove,1,1,1,0,0,0,,,,,
,,Maplewood,4,0,0,0,0,0,,,,,
,,Minneapolis,6,8,16,0,0,0,,,,,
,,Minnetonka,0,1,0,0,0,0,,,,,
,,Moorhead,0,0,1,0,0,0,,,,,
,,New Hope,1,0,0,0,0,0,,,,,
,,Plymouth,1,1,0,0,0,0,,,,,
,,Rochester,1,0,1,0,0,0,,,,,
,,Roseville,2,0,2,0,0,0,,,,,
,,Sartell,0,1,0,0,0,0,,,,,
,,Spring Lake Park,2,0,0,0,0,0,,,,,
,,St. Cloud,1,2,0,0,0,0,,,,,
,,St. Louis Park,1,2,1,0,0,0,,,,,
,,St. Paul,10,1,6,0,0,0,,,,,
,,Wadena,2,0,0,0,0,0,,,,,
,,Worthington,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,0,1,1,0,0,0,,,,,
,,Nicollet,0,1,0,0,0,0,,,,,
,,Wright,0,0,1,0,0,0,,,,,
Missouri,Total,,70,19,8,1,0,2,,,,,
,Cities,,56,15,7,1,0,2,,,,,
,,Columbia,3,1,0,0,0,0,,,,,
,,Fredericktown,0,0,1,0,0,0,,,,,
,,Gladstone,0,1,0,0,0,0,,,,,
,,Independence,3,0,0,0,0,0,,,,,
,,Joplin,1,0,0,0,0,0,,,,,
,,Kansas City,28,8,4,1,0,1,,,,,
,,Kirksville,1,0,1,0,0,0,,,,,
,,Lee's Summit,2,0,0,0,0,0,,,,,
,,Maryville,1,0,0,0,0,0,,,,,
,,Overland,1,0,0,0,0,0,,,,,
,,Pagedale,1,0,0,0,0,0,,,,,
,,Rolla,2,0,0,0,0,0,,,,,
,,Springfield,2,1,0,0,0,0,,,,,
,,St. Joseph,1,0,1,0,0,0,,,,,
,,St. Louis,7,1,0,0,0,0,,,,,
,,St. Peters,0,0,0,0,0,1,,,,,
,,University City,2,3,0,0,0,0,,,,,
,,Warrenton,1,0,0,0,0,0,,,,,
,Universities and Colleges,,4,4,0,0,0,0,,,,,
,,Northwest Missouri State University,1,0,0,0,0,0,,,,,
,,"St. Louis Community College, Meramec",1,0,0,0,0,0,,,,,
,,"University of Missouri, Columbia",2,4,0,0,0,0,,,,,
,Metropolitan Counties,,5,0,0,0,0,0,,,,,
,,St. Louis County Police Department,5,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,4,0,1,0,0,0,,,,,
,,Laclede,1,0,0,0,0,0,,,,,
,,Nodaway,1,0,0,0,0,0,,,,,
,,Schuyler,0,0,1,0,0,0,,,,,
,,Taney,1,0,0,0,0,0,,,,,
,,Worth,1,0,0,0,0,0,,,,,
,State Police Agencies,,1,0,0,0,0,0,,,,,
,,"State Highway Patrol, Jefferson City",1,0,0,0,0,0,,,,,
Montana,Total,,28,14,2,1,0,0,,,,,
,Cities,,7,6,1,0,0,0,,,,,
,,Billings,3,0,0,0,0,0,,,,,
,,Helena,0,5,0,0,0,0,,,,,
,,Kalispell,1,1,0,0,0,0,,,,,
,,Red Lodge,0,0,1,0,0,0,,,,,
,,Ronan City,1,0,0,0,0,0,,,,,
,,Sidney,1,0,0,0,0,0,,,,,
,,Stevensville,1,0,0,0,0,0,,,,,
,Metropolitan Counties,,17,0,1,0,0,0,,,,,
,,Yellowstone,17,0,1,0,0,0,,,,,
,Nonmetropolitan Counties,,4,8,0,1,0,0,,,,,
,,Flathead,0,2,0,0,0,0,,,,,
,,Lewis and Clark,3,5,0,0,0,0,,,,,
,,McCone,0,0,0,1,0,0,,,,,
,,Rosebud,1,0,0,0,0,0,,,,,
,,Stillwater,0,1,0,0,0,0,,,,,
Nebraska,Total,,10,1,7,0,0,1,,,,,
,Cities,,9,1,7,0,0,1,,,,,
,,Lincoln,9,1,5,0,0,1,,,,,
,,Omaha,0,0,2,0,0,0,,,,,
,Universities and Colleges,,1,0,0,0,0,0,,,,,
,,"University of Nebraska, Lincoln",1,0,0,0,0,0,,,,,
Nevada,Total,,36,5,17,0,0,0,,,,,
,Cities,,34,5,17,0,0,0,,,,,
,,Henderson,7,1,0,0,0,0,,,,,
,,Las Vegas Metropolitan Police Department3,22,4,15,0,0,0,,,,,
,,North Las Vegas,4,0,2,0,0,0,,,,,
,,Reno,1,0,0,0,0,0,,,,,
,Universities and Colleges,,2,0,0,0,0,0,,,,,
,,Truckee Meadows Community College,1,0,0,0,0,0,,,,,
,,"University of Nevada, Las Vegas",1,0,0,0,0,0,,,,,
New Hampshire,Total,,8,3,2,0,0,0,,,,,
,Cities,,8,3,2,0,0,0,,,,,
,,Antrim,1,0,0,0,0,0,,,,,
,,Barrington,1,0,0,0,0,0,,,,,
,,Concord,3,0,0,0,0,0,,,,,
,,Dublin,1,0,0,0,0,0,,,,,
,,Epping,0,0,1,0,0,0,,,,,
,,Exeter,1,1,0,0,0,0,,,,,
,,Hampton,1,0,1,0,0,0,,,,,
,,Hampton Falls,0,1,0,0,0,0,,,,,
,,Manchester,0,1,0,0,0,0,,,,,
New Jersey,Total,,169,125,33,3,0,0,,,,,
,Cities,,167,125,33,3,0,0,,,,,
,,Aberdeen Township,6,0,2,0,0,0,,,,,
,,Bayonne,0,1,0,0,0,0,,,,,
,,Belleville,2,0,0,0,0,0,,,,,
,,Bloomingdale,1,0,0,0,0,0,,,,,
,,Boonton,1,0,0,0,0,0,,,,,
,,Bordentown Township,3,0,0,0,0,0,,,,,
,,Bound Brook,1,0,0,0,0,0,,,,,
,,Bridgewater Township,0,0,1,0,0,0,,,,,
,,Butler,0,1,0,0,0,0,,,,,
,,Chatham,1,0,0,0,0,0,,,,,
,,Chatham Township,1,0,0,0,0,0,,,,,
,,Clifton,1,0,0,0,0,0,,,,,
,,Collingswood,1,0,0,0,0,0,,,,,
,,Colts Neck Township,0,1,0,0,0,0,,,,,
,,Delran Township,4,0,0,0,0,0,,,,,
,,Eastampton Township,0,1,0,0,0,0,,,,,
,,East Brunswick Township,5,3,0,0,0,0,,,,,
,,East Hanover Township,1,0,0,0,0,0,,,,,
,,East Windsor Township,2,1,0,0,0,0,,,,,
,,Edison Township,1,1,0,0,0,0,,,,,
,,Egg Harbor Township,1,0,0,0,0,0,,,,,
,,Englewood,1,1,1,0,0,0,,,,,
,,Evesham Township,5,1,1,1,0,0,,,,,
,,Ewing Township,0,1,0,0,0,0,,,,,
,,"Fairfield Township, Essex County",0,1,0,0,0,0,,,,,
,,Florham Park,0,1,0,0,0,0,,,,,
,,"Franklin Township, Somerset County",2,0,0,0,0,0,,,,,
,,Freehold,1,0,1,0,0,0,,,,,
,,Freehold Township,1,0,0,0,0,0,,,,,
,,Galloway Township,1,0,0,0,0,0,,,,,
,,Garwood,0,1,0,0,0,0,,,,,
,,Gibbsboro,1,0,0,0,0,0,,,,,
,,Glassboro,2,16,1,0,0,0,,,,,
,,Glen Rock,0,1,0,0,0,0,,,,,
,,Gloucester City,1,0,0,0,0,0,,,,,
,,Green Brook Township,1,0,0,0,0,0,,,,,
,,Guttenberg,1,0,0,0,0,0,,,,,
,,Hackettstown,1,0,0,0,0,0,,,,,
,,"Hamilton Township, Atlantic County",1,0,0,0,0,0,,,,,
,,"Hamilton Township, Mercer County",2,0,0,0,0,0,,,,,
,,Hanover Township,0,1,0,0,0,0,,,,,
,,Harrison Township,1,0,1,0,0,0,,,,,
,,Hawthorne,2,0,0,0,0,0,,,,,
,,High Bridge,0,1,0,0,0,0,,,,,
,,Highland Park,1,2,0,0,0,0,,,,,
,,Hightstown,1,0,0,0,0,0,,,,,
,,Hillsborough Township,1,0,0,0,0,0,,,,,
,,Hoboken,3,1,3,1,0,0,,,,,
