state,total,place,race,religion,sexual_orientation,ethnicity,disability,,,,,
,Cities,,2,1,1,0,0,,,,,
,,Bettendorf,0,1,0,0,0,,,,,
,,Council Bluffs,1,0,1,0,0,,,,,
,,Dubuque,1,0,0,0,0,,,,,
,Universities and Colleges,,2,1,1,0,0,,,,,
,,University of Iowa,2,1,1,0,0,,,,,
Kansas,Total,,52,7,7,11,4,,,,,
,Cities,,45,6,7,11,3,,,,,
,,Basehor,1,0,0,0,0,,,,,
,,Beloit,1,0,0,0,0,,,,,
,,Columbus,1,0,0,0,0,,,,,
,,Concordia,1,0,0,0,0,,,,,
,,Derby,2,0,0,0,0,,,,,
,,Dodge City,0,0,0,1,0,,,,,
,,Emporia,0,0,0,0,1,,,,,
,,Eudora,0,0,0,0,1,,,,,
,,Fort Scott,1,0,0,0,0,,,,,
,,Hays,1,0,0,0,0,,,,,
,,Haysville,1,0,0,0,0,,,,,
,,Hesston,1,0,0,0,0,,,,,
,,Hutchinson,1,0,0,0,0,,,,,
,,Independence,3,0,0,0,0,,,,,
,,Lawrence,8,2,2,2,1,,,,,
,,Leavenworth,1,0,0,0,0,,,,,
,,Liberal,1,0,0,0,0,,,,,
,,Lindsborg,1,0,0,0,0,,,,,
,,Merriam,0,0,0,1,0,,,,,
,,Newton,0,0,1,0,0,,,,,
,,Parsons,1,0,0,0,0,,,,,
,,Pittsburg,1,0,0,0,0,,,,,
,,Pratt,1,0,0,0,0,,,,,
,,Salina,4,0,0,0,0,,,,,
,,Shawnee,3,0,0,0,0,,,,,
,,Wichita,10,4,4,7,0,,,,,
,Universities and Colleges,,4,1,0,0,0,,,,,
,,Pittsburg State University,1,0,0,0,0,,,,,
,,University of Kansas:,,,,,,,,,,
,,Main Campus,2,0,0,0,0,,,,,
,,Medical Center4,1,0,0,0,0,,,,,
,,Washburn University,0,1,0,0,0,,,,,
,Metropolitan Counties,,3,0,0,0,0,,,,,
,,Leavenworth,1,0,0,0,0,,,,,
,,Miami,1,0,0,0,0,,,,,
,,Riley County Police Department,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,0,0,0,0,1,,,,,
,,Rush,0,0,0,0,1,,,,,
Kentucky,Total,,123,13,27,22,9,,,,,
,Cities,,96,9,18,16,7,,,,,
,,Anchorage,0,0,0,0,2,,,,,
,,Barbourville,1,0,0,0,0,,,,,
,,Bardstown,5,0,0,2,0,,,,,
,,Bellevue,1,1,0,0,0,,,,,
,,Berea,0,0,1,0,0,,,,,
,,Bowling Green,7,0,1,1,0,,,,,
,,Campbellsville,2,0,0,0,0,,,,,
,,Covington,3,0,1,2,0,,,,,
,,Danville,0,1,0,1,0,,,,,
,,Elizabethtown,1,0,0,0,0,,,,,
,,Eminence,1,0,1,0,0,,,,,
,,Falmouth,1,0,0,0,0,,,,,
,,Flemingsburg,1,0,0,0,0,,,,,
,,Florence,1,1,0,0,0,,,,,
,,Fort Thomas,0,0,1,0,0,,,,,
,,Frankfort,2,0,0,0,0,,,,,
,,Fulton,2,0,0,0,0,,,,,
,,Georgetown,0,0,0,1,0,,,,,
,,Graymoor-Devondale,1,0,0,0,0,,,,,
,,Harrodsburg,1,0,1,0,0,,,,,
,,Hopkinsville,4,0,1,0,1,,,,,
,,Independence,1,0,0,0,0,,,,,
,,Lancaster,1,0,0,0,0,,,,,
,,Lexington,23,4,6,5,4,,,,,
,,Louisa,0,0,1,0,0,,,,,
,,Mayfield,0,0,1,0,0,,,,,
,,Maysville,1,0,0,0,0,,,,,
,,Middlesboro,1,0,0,0,0,,,,,
,,Monticello,1,0,0,0,0,,,,,
,,Morehead,1,0,0,0,0,,,,,
,,Mount Sterling,1,0,0,0,0,,,,,
,,Mount Washington,1,0,0,0,0,,,,,
,,Murray,2,0,0,0,0,,,,,
,,Newport,1,0,0,0,0,,,,,
,,Nicholasville,2,0,0,0,0,,,,,
,,Northfield,1,0,0,0,0,,,,,
,,Owensboro,4,0,1,0,0,,,,,
,,Paducah,3,0,0,0,0,,,,,
,,Paris,0,0,1,0,0,,,,,
,,Park Hills,0,0,0,1,0,,,,,
,,Prestonsburg,1,0,0,0,0,,,,,
,,Princeton,1,1,0,0,0,,,,,
,,Radcliff,1,0,0,0,0,,,,,
,,Richmond,1,0,0,0,0,,,,,
,,Shelbyville,2,0,0,2,0,,,,,
,,Shepherdsville,1,0,1,1,0,,,,,
,,Shively,1,1,0,0,0,,,,,
,,Somerset,2,0,0,0,0,,,,,
,,Taylor Mill,1,0,0,0,0,,,,,
,,Vanceburg,1,0,0,0,0,,,,,
,,Versailles,1,0,0,0,0,,,,,
,,West Buechel,1,0,0,0,0,,,,,
,,Winchester,4,0,0,0,0,,,,,
,Universities and Colleges,,2,2,0,0,0,,,,,
,,Eastern Kentucky University,0,1,0,0,0,,,,,
,,Murray State University,2,0,0,0,0,,,,,
,,University of Louisville,0,1,0,0,0,,,,,
,Metropolitan Counties,,9,0,5,5,1,,,,,
,,Boone,1,0,3,3,0,,,,,
,,Boyd,1,0,0,0,0,,,,,
,,Bullitt,3,0,0,0,0,,,,,
,,Campbell County Police Department,1,0,1,0,0,,,,,
,,Christian,1,0,0,0,0,,,,,
,,Jessamine,0,0,1,0,0,,,,,
,,Kenton County Police Department,1,0,0,0,0,,,,,
,,Meade,0,0,0,0,1,,,,,
,,Shelby,1,0,0,1,0,,,,,
,,Spencer,0,0,0,1,0,,,,,
,Nonmetropolitan Counties,,9,0,2,0,1,,,,,
,,Ballard,0,0,1,0,0,,,,,
,,Franklin,1,0,0,0,0,,,,,
,,Hopkins,1,0,0,0,0,,,,,
,,Knox,0,0,1,0,0,,,,,
,,Laurel,1,0,0,0,0,,,,,
,,Mason,1,0,0,0,0,,,,,
,,McCracken,1,0,0,0,0,,,,,
,,Ohio,1,0,0,0,0,,,,,
,,Owen,1,0,0,0,0,,,,,
,,Washington,1,0,0,0,0,,,,,
,,Wolfe,1,0,0,0,1,,,,,
,State Police Agencies,,3,2,2,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Ashland,0,0,1,0,0,,,,,
,,Dry Ridge,0,1,0,0,0,,,,,
,,Mayfield,1,1,0,0,0,,,,,
,,Morehead,0,0,1,0,0,,,,,
,,Richmond,2,0,0,0,0,,,,,
,Other Agencies,,4,0,0,1,0,,,,,
,,Cincinnati-Northern Kentucky International Airport,1,0,0,0,0,,,,,
,,Fayette County Schools,1,0,0,1,0,,,,,
,,Jefferson County Board of Education,1,0,0,0,0,,,,,
,,Kentucky Horse Park,1,0,0,0,0,,,,,
Louisiana,Total,,2,0,2,0,0,,,,,
,Cities,,1,0,1,0,0,,,,,
,,New Orleans,1,0,1,0,0,,,,,
,Metropolitan Counties,,1,0,1,0,0,,,,,
,,Ascension,0,0,1,0,0,,,,,
,,St. Tammany,1,0,0,0,0,,,,,
Maine,Total,,20,10,19,3,0,,,,,
,Cities,,20,10,17,2,0,,,,,
,,Auburn,1,0,1,0,0,,,,,
,,Augusta,2,0,0,0,0,,,,,
,,Baileyville,1,0,0,0,0,,,,,
,,Bangor,0,5,1,0,0,,,,,
,,Bar Harbor,0,0,0,1,0,,,,,
,,Houlton,1,0,0,0,0,,,,,
,,Kittery,1,0,0,0,0,,,,,
,,Lewiston,2,0,1,0,0,,,,,
,,Livermore Falls,1,0,0,0,0,,,,,
,,Mexico,0,0,1,0,0,,,,,
,,Old Orchard Beach,0,1,1,0,0,,,,,
,,Pittsfield,2,0,0,0,0,,,,,
,,Portland,2,3,2,0,0,,,,,
,,Rumford,0,0,0,1,0,,,,,
,,Saco,4,1,5,0,0,,,,,
,,Sanford,3,0,2,0,0,,,,,
,,Skowhegan,0,0,2,0,0,,,,,
,,Wells,0,0,1,0,0,,,,,
,Metropolitan Counties,,0,0,2,1,0,,,,,
,,Androscoggin,0,0,1,0,0,,,,,
,,Sagadahoc,0,0,1,1,0,,,,,
Maryland,Total,,23,4,7,1,0,,,,,
,Cities,,4,0,2,0,0,,,,,
,,Baltimore,1,0,0,0,0,,,,,
,,Bowie,1,0,0,0,0,,,,,
,,Cambridge,1,0,1,0,0,,,,,
,,Elkton,1,0,0,0,0,,,,,
,,New Carrollton,0,0,1,0,0,,,,,
,Universities and Colleges,,3,0,0,0,0,,,,,
,,Frostburg State University,1,0,0,0,0,,,,,
,,Towson University,1,0,0,0,0,,,,,
,,"University of Maryland, College Park",1,0,0,0,0,,,,,
,Metropolitan Counties,,14,3,5,1,0,,,,,
,,Baltimore County Police Department,5,0,2,0,0,,,,,
,,Calvert,1,0,0,0,0,,,,,
,,Carroll,3,0,2,0,0,,,,,
,,Charles,1,0,0,1,0,,,,,
,,Montgomery County Police Department,4,3,1,0,0,,,,,
,State Police Agencies,,1,1,0,0,0,,,,,
,,State Police:,,,,,,,,,,
,,Allegany County,1,0,0,0,0,,,,,
,,Frederick County,0,1,0,0,0,,,,,
,Other Agencies,,1,0,0,0,0,,,,,
,,"Maryland-National Capital Park Police, Montgomery County",1,0,0,0,0,,,,,
Massachusetts,Total,,70,31,35,19,2,,,,,
,Cities,,67,31,35,19,2,,,,,
,,Acton,1,1,0,1,0,,,,,
,,Amesbury,1,0,0,0,0,,,,,
,,Amherst,1,0,1,0,0,,,,,
,,Andover,0,1,0,0,0,,,,,
,,Attleboro,1,0,0,0,0,,,,,
,,Barnstable,4,2,0,2,0,,,,,
,,Bedford,1,0,0,0,0,,,,,
,,Belchertown,1,0,0,0,0,,,,,
,,Belmont,2,0,0,0,0,,,,,
,,Beverly,1,1,0,0,0,,,,,
,,Billerica,0,0,1,0,0,,,,,
,,Braintree,5,0,0,0,0,,,,,
,,Brookline,0,1,0,0,0,,,,,
,,Burlington,0,0,1,0,0,,,,,
,,Cambridge,2,3,3,2,0,,,,,
,,Carver,1,0,0,0,0,,,,,
,,Charlton,1,0,0,0,0,,,,,
,,Chelsea,0,0,1,0,0,,,,,
,,Chicopee,0,0,1,1,0,,,,,
,,Danvers,5,2,0,1,0,,,,,
,,Dracut,1,0,0,0,0,,,,,
,,East Longmeadow,0,0,1,0,0,,,,,
,,Everett,2,0,0,0,0,,,,,
,,Falmouth,0,1,0,0,0,,,,,
,,Fitchburg,0,0,2,0,0,,,,,
,,Framingham,1,0,0,0,0,,,,,
,,Grafton,0,1,0,0,0,,,,,
,,Hadley,1,0,0,0,0,,,,,
,,Harvard,1,0,0,0,0,,,,,
,,Haverhill,2,2,2,2,0,,,,,
,,Hingham,1,0,1,0,0,,,,,
,,Hull,2,0,0,0,0,,,,,
,,Longmeadow,0,0,1,0,0,,,,,
,,Lowell,0,0,1,0,0,,,,,
,,Ludlow,0,0,0,1,0,,,,,
,,Lynn,1,0,0,2,2,,,,,
,,Malden,0,0,1,1,0,,,,,
,,Manchester-by-the-Sea,0,1,0,0,0,,,,,
,,Mansfield,0,0,0,1,0,,,,,
,,Marblehead,0,1,0,0,0,,,,,
,,Mendon,1,0,0,0,0,,,,,
,,Millis,0,1,0,0,0,,,,,
,,Monson,0,0,1,0,0,,,,,
,,Montague,1,0,1,0,0,,,,,
,,Natick,1,1,0,0,0,,,,,
,,Needham,0,1,0,0,0,,,,,
,,Newburyport,0,1,0,0,0,,,,,
,,Newton,1,1,1,0,0,,,,,
,,Norton,1,0,0,0,0,,,,,
,,Oak Bluffs,1,0,0,0,0,,,,,
,,Pembroke,0,1,0,0,0,,,,,
,,Plainville,0,1,0,0,0,,,,,
,,Plymouth,6,0,2,0,0,,,,,
,,Provincetown,0,0,1,0,0,,,,,
,,Quincy,3,3,1,1,0,,,,,
,,Randolph,1,0,0,0,0,,,,,
,,Revere,0,1,1,1,0,,,,,
,,Salem,1,0,0,0,0,,,,,
,,Seekonk,0,0,1,0,0,,,,,
,,Sharon,0,1,0,0,0,,,,,
,,Somerville,2,0,0,0,0,,,,,
,,Southborough,0,1,0,0,0,,,,,
,,South Hadley,0,0,1,0,0,,,,,
,,Southwick,0,0,1,0,0,,,,,
,,Springfield,0,0,1,0,0,,,,,
,,Stoneham,1,1,0,0,0,,,,,
,,Stoughton,1,0,0,0,0,,,,,
,,Taunton,1,0,1,1,0,,,,,
,,Tisbury,1,0,1,0,0,,,,,
,,Uxbridge,1,0,0,0,0,,,,,
,,Westfield,0,0,0,1,0,,,,,
,,Worcester,2,0,2,1,0,,,,,
,,Yarmouth,2,0,2,0,0,,,,,
,Universities and Colleges,,3,0,0,0,0,,,,,
,,Massachusetts College of Liberal Arts,1,0,0,0,0,,,,,
,,Massachusetts Institute of Technology,1,0,0,0,0,,,,,
,,"University of Massachusetts, Harbor Campus, Boston",1,0,0,0,0,,,,,
Michigan,Total,,427,60,64,59,7,,,,,
,Cities,,272,47,54,46,5,,,,,
,,Adrian,4,0,1,0,0,,,,,
,,Allegan,1,0,0,0,0,,,,,
,,Alma,0,0,1,0,0,,,,,
,,Alpena,2,0,0,0,0,,,,,
,,Ann Arbor,6,2,2,0,0,,,,,
,,Auburn Hills,1,0,1,0,0,,,,,
,,Bangor,0,0,1,0,0,,,,,
,,Battle Creek,1,0,1,0,0,,,,,
,,Bay City,1,0,1,0,0,,,,,
,,Benton Township,1,0,1,0,0,,,,,
,,Berkley,1,1,0,0,0,,,,,
,,Berrien Springs-Oronoko Township,2,0,0,0,0,,,,,
,,Beverly Hills,2,0,0,0,0,,,,,
,,Birmingham,2,0,0,2,0,,,,,
,,Blackman Township,2,0,0,0,0,,,,,
,,Blissfield,1,0,0,0,0,,,,,
,,Bloomfield Township,3,2,0,0,0,,,,,
,,Buchanan,1,0,0,1,0,,,,,
,,Canton Township,1,1,0,0,0,,,,,
,,Capac,0,1,1,0,1,,,,,
,,Cedar Springs,0,0,1,0,0,,,,,
,,Center Line,1,0,0,0,0,,,,,
,,Cheboygan,1,0,0,0,0,,,,,
,,Chelsea,2,0,0,0,0,,,,,
,,Chesterfield Township,2,0,0,0,0,,,,,
,,Clare,1,0,1,0,0,,,,,
,,Clawson,1,0,0,0,0,,,,,
,,Clinton Township,12,0,1,1,0,,,,,
,,Clio,1,0,0,0,0,,,,,
,,Covert Township,0,0,0,1,0,,,,,
,,Crystal Falls,1,0,0,0,0,,,,,
,,Dearborn,4,3,2,7,0,,,,,
,,Dearborn Heights,4,1,0,1,0,,,,,
,,Detroit,12,4,5,1,0,,,,,
,,East Lansing,10,1,0,0,0,,,,,
,,Eastpointe,6,0,0,0,0,,,,,
,,Eau Claire,0,0,0,1,0,,,,,
,,Emmett Township,1,1,0,0,0,,,,,
,,Escanaba,3,0,1,0,1,,,,,
,,Farmington,1,0,0,1,0,,,,,
,,Farmington Hills,4,1,0,1,0,,,,,
,,Fenton,2,0,0,0,0,,,,,
,,Ferndale,1,0,0,0,0,,,,,
,,Flat Rock,2,0,0,0,0,,,,,
,,Flint,2,0,1,1,0,,,,,
,,Flint Township,2,0,0,0,0,,,,,
,,Flushing,1,0,0,0,0,,,,,
,,Forsyth Township,0,0,1,0,0,,,,,
,,Fraser,3,0,1,0,0,,,,,
,,Garden City,3,0,0,0,0,,,,,
,,Genesee Township,1,0,0,0,0,,,,,
,,Grand Blanc,1,0,0,0,0,,,,,
,,Grand Blanc Township,3,1,0,0,0,,,,,
,,Grand Haven,1,0,0,0,0,,,,,
,,Grand Ledge,1,0,0,0,0,,,,,
,,Grand Rapids,6,0,0,0,0,,,,,
,,Grandville,1,0,0,0,0,,,,,
,,Greenville,1,0,0,0,0,,,,,
,,Grosse Pointe Woods,3,0,0,0,0,,,,,
,,Hamtramck,3,0,0,0,0,,,,,
,,Hancock,0,1,0,0,0,,,,,
,,Harper Woods,1,0,1,0,0,,,,,
,,Hartford,1,0,0,0,0,,,,,
,,Hastings,1,0,0,0,0,,,,,
,,Hazel Park,0,0,1,0,0,,,,,
,,Hillsdale,1,0,0,1,0,,,,,
,,Holland,0,1,0,0,0,,,,,
,,Hopkins,0,0,0,1,0,,,,,
,,Houghton,1,0,0,0,0,,,,,
,,Howard City,1,0,0,0,0,,,,,
,,Hudson,1,0,0,0,0,,,,,
,,Huntington Woods,1,1,0,0,0,,,,,
,,Inkster,0,1,0,0,1,,,,,
,,Ironwood,0,0,0,1,0,,,,,
,,Jackson,2,1,2,1,0,,,,,
,,Keego Harbor,1,0,1,0,0,,,,,
,,Kentwood,1,0,0,0,0,,,,,
,,Lansing,3,1,1,0,0,,,,,
,,Lawton,1,0,0,0,0,,,,,
,,Livonia,7,2,1,2,0,,,,,
,,Manistique,0,0,0,1,0,,,,,
,,Marlette,0,0,3,0,0,,,,,
,,Marysville,1,0,0,0,0,,,,,
,,Mattawan,1,0,0,0,0,,,,,
,,Meridian Township,1,0,1,2,0,,,,,
,,Midland,1,0,1,0,0,,,,,
,,Monroe,5,0,0,0,0,,,,,
,,Morenci,0,1,0,1,0,,,,,
,,Mount Morris,1,0,0,0,0,,,,,
,,Mount Morris Township,1,0,0,0,0,,,,,
,,Mundy Township,2,0,0,0,0,,,,,
,,Muskegon,3,0,0,0,0,,,,,
,,Muskegon Heights,1,0,0,0,0,,,,,
,,New Haven,1,0,0,0,0,,,,,
,,Northfield Township,0,0,1,0,0,,,,,
,,Northville,0,1,0,0,0,,,,,
,,Northville Township,1,1,0,0,0,,,,,
,,Norton Shores,2,0,0,1,0,,,,,
,,Novi,1,0,0,0,0,,,,,
,,Oakley,0,0,0,1,0,,,,,
,,Oak Park,1,0,1,0,0,,,,,
,,Orchard Lake,1,1,0,0,0,,,,,
,,Oscoda Township,1,0,0,0,0,,,,,
,,Owosso,1,0,0,0,0,,,,,
,,Pittsfield Township,3,0,0,0,0,,,,,
,,Plymouth Township,0,1,0,0,0,,,,,
,,Portage,1,0,0,0,0,,,,,
,,Port Huron,1,0,0,0,0,,,,,
,,Redford Township,0,0,0,1,0,,,,,
,,Richmond,2,0,0,0,0,,,,,
,,Rochester,1,0,0,0,0,,,,,
,,Rockford,1,0,0,0,0,,,,,
,,Roseville,4,0,0,1,0,,,,,
,,Royal Oak,3,0,2,2,0,,,,,
,,Saginaw,2,0,1,0,0,,,,,
,,Saginaw Township,1,0,1,0,0,,,,,
,,Saline,1,0,0,0,0,,,,,
,,Saugatuck-Douglas,1,0,0,0,0,,,,,
,,Shelby Township,3,1,0,0,1,,,,,
,,Shepherd,0,0,1,0,0,,,,,
,,Southfield,8,6,0,0,0,,,,,
,,South Lyon,1,0,0,0,0,,,,,
,,Sparta,1,0,0,0,0,,,,,
,,Spring Lake-Ferrysburg,1,0,0,0,0,,,,,
,,St. Charles,0,0,0,1,0,,,,,
,,St. Clair,1,0,0,0,0,,,,,
,,St. Clair Shores,3,1,0,0,0,,,,,
,,Sterling Heights,4,0,0,0,0,,,,,
,,Swartz Creek,1,0,0,0,0,,,,,
,,Taylor,4,0,0,1,0,,,,,
,,Thomas Township,0,0,1,0,0,,,,,
,,Three Rivers,1,0,0,0,0,,,,,
,,Tittabawassee Township,0,0,1,0,0,,,,,
,,Trenton,2,0,0,0,0,,,,,
,,Troy,3,0,1,1,0,,,,,
,,Utica,1,0,0,0,0,,,,,
,,Van Buren Township,1,1,0,0,0,,,,,
,,Vicksburg,2,0,0,0,0,,,,,
,,Walled Lake,1,0,1,0,0,,,,,
,,Warren,15,0,1,3,0,,,,,
,,Waterford Township,0,2,0,0,1,,,,,
,,Wayne,2,0,0,2,0,,,,,
,,West Bloomfield Township,1,3,0,3,0,,,,,
,,Westland,4,1,0,0,0,,,,,
,,White Cloud,0,0,1,0,0,,,,,
,,White Lake Township,0,0,2,0,0,,,,,
,,Woodhaven,1,0,0,0,0,,,,,
,,Wyoming,3,0,1,1,0,,,,,
,,Ypsilanti,2,0,2,0,0,,,,,
,Universities and Colleges,,4,2,4,2,0,,,,,
,,Eastern Michigan University,1,0,0,0,0,,,,,
,,Michigan State University,1,1,1,1,0,,,,,
,,Oakland University,0,1,0,0,0,,,,,
,,Saginaw Valley State University,1,0,0,0,0,,,,,
,,"University of Michigan, Ann Arbor",1,0,2,1,0,,,,,
,,Western Michigan University,0,0,1,0,0,,,,,
,Metropolitan Counties,,142,8,5,9,2,,,,,
,,Berrien,0,0,0,1,0,,,,,
,,Calhoun,2,0,0,0,0,,,,,
,,Eaton,1,0,0,0,0,,,,,
,,Genesee,0,4,0,0,0,,,,,
,,Jackson,1,0,1,0,0,,,,,
,,Kalamazoo,1,0,0,0,0,,,,,
,,Kent,2,0,0,2,1,,,,,
,,Macomb,11,1,0,1,0,,,,,
,,Monroe,7,0,0,0,0,,,,,
,,Oakland,106,2,4,5,1,,,,,
,,Ottawa,3,0,0,0,0,,,,,
,,St. Clair,1,0,0,0,0,,,,,
,,Van Buren,2,0,0,0,0,,,,,
,,Washtenaw,5,1,0,0,0,,,,,
,Nonmetropolitan Counties,,8,2,1,2,0,,,,,
,,Allegan,2,0,1,0,0,,,,,
,,Branch,0,0,0,1,0,,,,,
,,Chippewa,1,0,0,0,0,,,,,
,,Grand Traverse,1,1,0,1,0,,,,,
,,Leelanau,1,0,0,0,0,,,,,
,,Mecosta,1,1,0,0,0,,,,,
,,Osceola,2,0,0,0,0,,,,,
,State Police Agencies,,0,1,0,0,0,,,,,
,,"State Police, Huron County",0,1,0,0,0,,,,,
,Other Agencies,,1,0,0,0,0,,,,,
,,"Huron-Clinton Metropolitan Authority, Kensington Metropark",1,0,0,0,0,,,,,
Minnesota,Total,,40,11,12,9,0,,,,,
,Cities,,37,10,10,8,0,,,,,
,,Bemidji,1,0,0,0,0,,,,,
,,Blaine,3,1,0,0,0,,,,,
,,Brooklyn Park,1,0,1,1,0,,,,,
,,Elk River,2,0,0,0,0,,,,,
,,Eveleth,1,0,0,0,0,,,,,
,,Inver Grove Heights,0,1,0,0,0,,,,,
,,Mankato,4,0,0,1,0,,,,,
,,Maplewood,0,1,0,0,0,,,,,
,,Minneapolis,10,1,7,4,0,,,,,
,,Minnetonka,0,1,0,0,0,,,,,
,,Minnetrista,1,0,0,0,0,,,,,
,,Moorhead,1,0,0,0,0,,,,,
,,New Hope,1,0,0,0,0,,,,,
,,Red Wing,1,0,0,0,0,,,,,
,,Richfield,1,0,0,1,0,,,,,
,,Rochester,2,1,1,0,0,,,,,
,,Roseville,1,0,0,0,0,,,,,
,,Shakopee,0,1,0,0,0,,,,,
,,St. Cloud,1,0,1,0,0,,,,,
,,St. Louis Park,0,2,0,0,0,,,,,
,,St. Paul,6,1,0,1,0,,,,,
,Metropolitan Counties,,1,1,1,1,0,,,,,
,,Chisago,1,0,0,0,0,,,,,
,,Le Sueur,0,0,1,0,0,,,,,
,,Mille Lacs,0,1,0,0,0,,,,,
,,Olmsted,0,0,0,1,0,,,,,
,Nonmetropolitan Counties,,2,0,1,0,0,,,,,
,,Beltrami,2,0,0,0,0,,,,,
,,Cass,0,0,1,0,0,,,,,
Mississippi,Total,,5,0,1,12,0,,,,,
,Cities,,4,0,1,12,0,,,,,
,,Biloxi,3,0,0,0,0,,,,,
,,Gulfport,1,0,1,12,0,,,,,
,Universities and Colleges,,1,0,0,0,0,,,,,
,,"University of Mississippi, Oxford",1,0,0,0,0,,,,,
Missouri,Total,,66,10,22,4,2,,,,,
,Cities,,61,9,22,3,1,,,,,
,,Belton,1,0,0,0,0,,,,,
,,Columbia,1,0,0,0,0,,,,,
,,Creve Coeur,0,2,0,0,0,,,,,
,,Crocker,0,0,1,0,0,,,,,
,,De Soto,1,0,0,0,0,,,,,
,,Edmundson,1,0,0,0,0,,,,,
,,Gladstone,0,0,1,0,0,,,,,
,,Grain Valley,1,0,0,0,0,,,,,
,,Independence,5,0,1,0,0,,,,,
,,Kansas City,29,6,12,2,0,,,,,
,,Lee's Summit,5,0,0,0,0,,,,,
,,Macon,1,0,0,0,0,,,,,
,,Milan,1,0,0,0,0,,,,,
,,Overland,1,0,0,0,0,,,,,
,,Peculiar,1,0,0,0,0,,,,,
,,Raytown,2,0,0,0,0,,,,,
,,Rolla,4,0,4,0,0,,,,,
,,Smithville,0,0,0,1,0,,,,,
,,Springfield,1,0,0,0,0,,,,,
,,St. Charles,1,0,0,0,1,,,,,
,,St. Louis,2,1,3,0,0,,,,,
,,St. Peters,3,0,0,0,0,,,,,
,Universities and Colleges,,2,0,0,0,0,,,,,
,,University of Missouri:,,,,,,,,,,
,,Columbia,1,0,0,0,0,,,,,
,,Kansas City,1,0,0,0,0,,,,,
,Metropolitan Counties,,3,1,0,1,0,,,,,
,,Greene,0,0,0,1,0,,,,,
,,Jasper,0,1,0,0,0,,,,,
,,St. Louis County Police Department,2,0,0,0,0,,,,,
,,Warren,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,0,0,0,0,1,,,,,
,,Stone,0,0,0,0,1,,,,,
Montana,Total,,13,7,8,4,4,,,,,
,Cities,,7,2,6,2,1,,,,,
,,Billings,4,1,1,2,0,,,,,
,,Colstrip,0,0,0,0,1,,,,,
,,Helena,1,0,1,0,0,,,,,
,,Missoula,1,1,4,0,0,,,,,
,,Polson,1,0,0,0,0,,,,,
,Metropolitan Counties,,3,4,2,1,0,,,,,
,,Carbon,0,0,1,0,0,,,,,
,,Cascade,1,0,0,0,0,,,,,
,,Golden Valley,0,0,0,1,0,,,,,
,,Missoula,2,4,1,0,0,,,,,
,Nonmetropolitan Counties,,3,1,0,1,3,,,,,
,,Big Horn,0,0,0,1,0,,,,,
,,Flathead,0,1,0,0,0,,,,,
,,Lewis and Clark,2,0,0,0,3,,,,,
,,Silver Bow,1,0,0,0,0,,,,,
Nebraska,Total,,7,1,0,1,0,,,,,
,Cities,,4,1,0,1,0,,,,,
,,Fremont,1,0,0,1,0,,,,,
,,Kearney,2,1,0,0,0,,,,,
,,North Platte,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,3,0,0,0,0,,,,,
,,Buffalo,2,0,0,0,0,,,,,
,,Keith,1,0,0,0,0,,,,,
Nevada,Total,,35,11,23,22,0,,,,,
,Cities,,35,11,23,22,0,,,,,
,,Henderson,3,0,0,0,0,,,,,
,,Las Vegas Metropolitan Police Department,29,9,19,16,0,,,,,
,,North Las Vegas,3,2,2,3,0,,,,,
,,Reno,0,0,2,3,0,,,,,
New Hampshire,Total,,16,7,4,2,0,,,,,
,Cities,,15,7,3,2,0,,,,,
,,Belmont,1,0,0,0,0,,,,,
,,Bristol,0,2,0,0,0,,,,,
,,Concord,1,0,0,1,0,,,,,
,,Dover,0,1,0,0,0,,,,,
,,Dunbarton,1,0,0,0,0,,,,,
,,Durham,1,0,1,0,0,,,,,
,,Epping,1,0,0,0,0,,,,,
,,Hooksett,1,0,0,0,0,,,,,
,,Hudson,0,2,0,0,0,,,,,
,,Kingston,0,0,1,0,0,,,,,
,,Lancaster,0,0,0,1,0,,,,,
,,Lebanon,1,0,0,0,0,,,,,
,,Lincoln,1,0,0,0,0,,,,,
,,Manchester,1,1,0,0,0,,,,,
,,Marlborough,0,0,1,0,0,,,,,
,,Merrimack,2,0,0,0,0,,,,,
,,Milton,1,0,0,0,0,,,,,
,,Pembroke,0,1,0,0,0,,,,,
,,Rochester,3,0,0,0,0,,,,,
,Universities and Colleges,,0,0,1,0,0,,,,,
,,University of New Hampshire,0,0,1,0,0,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,,,,,
,,Carroll,1,0,0,0,0,,,,,
New Mexico,Total,,0,0,0,0,2,,,,,
,Cities,,0,0,0,0,2,,,,,
,,Los Lunas,0,0,0,0,2,,,,,
New York,Total,,170,406,94,45,0,,,,,
,Cities,,104,278,77,26,0,,,,,
,,Albany,1,0,1,0,0,,,,,
,,Amherst Town,4,0,0,0,0,,,,,
,,Auburn,3,0,1,0,0,,,,,
,,Binghamton,2,0,0,0,0,,,,,
,,Buffalo,24,0,7,5,0,,,,,
,,Clarkstown Town,0,4,0,0,0,,,,,
,,Coeymans Town,0,0,1,0,0,,,,,
,,Cohoes,0,0,1,0,0,,,,,
,,Colonie Town,1,0,0,0,0,,,,,
